,Age & BMI,Blood lipids
rdi_during_supine,0.39835542509286825,0.4145940436840792
ahi_during_supine,0.49103395174791686,0.5043797472043791
desaturations_mean_nadir,0.37855958984624505,0.38948650317800426
number_of_apnea_hypopnea_events,0.4551683433577159,0.4657609851375728
saturation_mean,0.4465781303528324,0.45468338329010544
ahi_during_nrem,0.45326554643586064,0.4608762301367984
ahi_during_rem,0.4899593704890874,0.4973160911874446
rdi_during_rem,0.38840845720267425,0.3955806062489058
AHI,0.4880474687177214,0.4930594539892408
rdi,0.37819492460885706,0.382612738895182
number_of_obstructive_apnea_hypopnea_events,0.4640417174009892,0.4682471084766233
ahi_obstructive_during_rem,0.4928889607280666,0.49706794592312026
