,Age & BMI,Blood lipids
total_wake_time_after_sleep_onset,0.13685563669845585,0.17574047896203265
total_time_in_bed,0.06323163261258086,0.0872249772834431
total_sleep_time,0.04786193568293155,0.07127869239502485
total_arousal_sleep_time,0.04887922948280165,0.07156539350433916
total_valid_apnea_sleep_time,0.02717569688503315,0.0439295797416529
total_valid_apnea_central_sleep_time,0.012803404818573949,0.0246317162274196
total_wake_time,0.1273275358270034,0.1367413914171885
saturation_mean,0.5917621907353646,0.6008164912392899
ahi_during_supine,0.5713540402728587,0.5765040989234316
rdi_during_supine,0.4593218552357558,0.4624159940934575
number_of_all_respiratory_events,0.41197947927795514,0.4138814616701502
ahi_during_nrem,0.5056831288654042,0.5075273245814516
AHI,0.5619645250961754,0.5628912665773356
