,clinical_OSA
0,0.5018605524060987
1,0.5117683984364889
2,0.522381636509539
3,0.5099790323833191
4,0.5213591416220135
5,0.5244266262845901
6,0.512535269602133
7,0.5170750174730139
8,0.530244492764878
9,0.5264716160596412
10,0.507228650565608
11,0.5160525225854883
12,0.5135577644896585
13,0.5203981258574719
14,0.5165637700292511
15,0.5112571509927261
16,0.5107459035489633
17,0.5388742201858611
18,0.5054392845124381
19,0.5352954880795217
20,0.5254491211721156
21,0.5257047448939971
22,0.5168193937511325
23,0.5023717998498616
24,0.5218703890657761
25,0.5089565374957935
26,0.5352954880795217
27,0.5284551267117082
28,0.5173306411948952
29,0.5173306411948952
30,0.517841888638658
31,0.5142631565323186
32,0.525643265771013
33,0.5110015272708447
34,0.5049280370686754
35,0.5112571509927261
36,0.5180975123605394
37,0.5130465170458958
38,0.5244266262845901
39,0.507228650565608
40,0.504672413346794
41,0.5044167896249127
42,0.5342729931919962
43,0.5140690119334214
44,0.5152856514198442
45,0.5358067355232844
46,0.4973208045352178
47,0.5097234086614377
48,0.4965539333695736
49,0.5360623592451659
