,"Age, BMI & VAT",Cardiovascular system
total_valid_apnea_sleep_time,0.02020628503702515,0.07112849513382855
total_valid_apnea_central_sleep_time,0.02955959604965025,0.0581754491185936
rdi_during_non_supine,0.3541728958603799,0.37944984783115626
rdi,0.4546825299320073,0.4784826369613254
rdi_during_nrem,0.3875865095085711,0.4109609470770983
number_of_all_respiratory_events,0.42930454536230445,0.44946481270737304
rdi_during_supine,0.4578858175160638,0.47736380916694915
ahi_during_non_supine,0.482659732908591,0.500836950022931
ahi_obstructive,0.574902931304728,0.5906411921200694
rdi_during_rem,0.4999077683057973,0.5153546679178597
ahi_during_left,0.42660870900209613,0.44085032982578565
ahi_obstructive_during_nrem,0.5176389973889949,0.5318710857420627
ahi_during_supine,0.5652720071449934,0.5787247060957237
number_of_obstructive_apnea_hypopnea_events,0.5619492892587042,0.575379285313079
ahi_obstructive_during_rem,0.5905317194179728,0.6024467774963724
AHI,0.5721563066100035,0.5839311823034643
rdi_during_left,0.30680412186066885,0.3181264776948226
number_of_apnea_hypopnea_events,0.5562715158788163,0.5675364000843579
rdi_during_right,0.29197633907177295,0.3026515906896985
ahi_during_rem,0.5982730622562753,0.6081566110647764
rdi_during_prone,0.314598295070743,0.3242868040026066
ahi_during_nrem,0.5141033696341606,0.5225981182841859
desaturations_mean_nadir,0.2459828438633973,0.25359353389458916
ahi_during_prone,0.42185767580601796,0.4285509031921072
ahi_during_right,0.40723720520321127,0.41355519818752373
number_of_central_apnea_hypopnea_events,0.29503915304600137,0.30032485711036694
number_of_4_percent_desaturation_apnea_hypopnea_events,0.523520795964656,0.528511454953644
ahi_4_percent,0.5337091856297815,0.5385183360622292
odi_during_rem,0.5729804455541719,0.5771998740750617
odi_during_left,0.42369228510614276,0.42788079692475
snore_above_45db,0.3953420943985215,0.39948202214002737
saturation_mean,0.5890123156795476,0.5929330058208402
percent_of_deep_sleep_time,0.2320577636254029,0.23568484892816238
number_of_desaturation_events,0.5294136195549537,0.5323604176436205
odi_during_supine,0.5144543527838537,0.5172888106091953
odi_during_non_supine,0.4631735559999591,0.46585050512850895
desaturations_of_4_9,0.5436162502914796,0.546105323137803
snore_db_mean,0.35522671568094627,0.3574879332297405
odi,0.5374616860545558,0.5395485580335266
saturation_max_value,0.21323207284183743,0.2137969669432856
