,"Age, BMI & VAT",Cardiovascular system
AHI,0.0008775841347676674,0.002657625748836012
ahi_4_percent,0.001113226171405001,0.0024220985887408505
ahi_central,0.003916806813198699,0.004266273767474219
ahi_central_during_nrem,0.005114334599543439,0.005506879043065749
ahi_central_during_rem,0.004051483649351277,0.004641383332076801
ahi_during_left,0.00211736686731619,0.004546590609474604
ahi_during_non_supine,0.001366880863665727,0.0036877846950011998
ahi_during_nrem,0.0013865110367401131,0.0031853112122515524
ahi_during_prone,0.002448470954039558,0.005425936071227061
ahi_during_rem,0.0009716022511455734,0.0035898423578492986
ahi_during_right,0.0018948839969019373,0.004540424559259335
ahi_during_supine,0.0009341329820299763,0.0032930508969925697
ahi_obstructive,0.0009811093400181941,0.002711374206174812
ahi_obstructive_during_nrem,0.0013228841442145375,0.003199780280052183
ahi_obstructive_during_rem,0.0008358574646858746,0.002875231242203917
desaturations_above_20,0.012761468353244534,0.012790605712299981
desaturations_mean_nadir,0.002522796520673374,0.002695353204930458
desaturations_of_10_20,0.008308992581604167,0.0083089636431543
desaturations_of_4_9,0.0010874000180722146,0.001756202692161045
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0013395188201818292,0.0021370060093205503
number_of_all_respiratory_events,0.0013659707419530949,0.0028576119871858694
number_of_apnea_hypopnea_events,0.0010740141261067946,0.0024637674710932334
number_of_central_apnea_hypopnea_events,0.003226367467422385,0.006200001712466879
number_of_desaturation_events,0.0014817736329188677,0.0022266256427870413
number_of_obstructive_apnea_hypopnea_events,0.0011403421709746922,0.002414581590542745
number_of_transitions_nrem_to_rem,0.023445404113359766,0.023460069500904596
number_of_transitions_nrem_to_wake,0.004550283850142068,0.0072111615081196755
number_of_transitions_rem_to_nrem,0.01760158153935338,0.017582401302979063
number_of_transitions_rem_to_wake,0.012683622741610685,0.012683622741610685
number_of_transitions_wake_to_nrem,0.004186637741053233,0.006593881961771925
number_of_transitions_wake_to_rem,0.008843619352912469,0.00884361935291246
number_of_wakes,0.00524370361427067,0.007563896187310903
odi,0.0013174892988217649,0.002240453042127164
odi_during_left,0.0023403116931234773,0.0036736732154946535
odi_during_non_supine,0.002638791182321488,0.0033752209273376875
odi_during_nrem,0.0021987287210143637,0.0035700757391384764
odi_during_prone,0.0033407446555287867,0.005713081203346384
odi_during_rem,0.0012884976674408435,0.0029927811384883618
odi_during_right,0.0028429003102812367,0.004025209095168269
odi_during_supine,0.001320364993243234,0.00315105570235359
percent_of_deep_sleep_time,0.0020706331198918028,0.00466011286409202
percent_of_left_sleep,0.00484335200175482,0.012556842699539264
percent_of_light_sleep_time,0.00293666290509855,0.00564851747837236
percent_of_non_supine_sleep,0.004031968667855067,0.009720748451461602
percent_of_prone_sleep,0.013970103058601031,0.013734980632186379
percent_of_rem_sleep_time,0.004114357381187017,0.008873275787642137
percent_of_right_sleep,0.003375510038818602,0.013942627797916503
