,"Age, BMI & VAT",Gut MB metabolic pathways
AHI,0.0006450069783320614,0.0024019880943963244
ahi_4_percent,0.0009205518194931667,0.0022094500626231263
ahi_central,0.004072974947477322,0.00407297457753649
ahi_central_during_nrem,0.0033601501891080614,0.003360150189124293
ahi_central_during_rem,0.0033486899223799708,0.0033649133120293878
ahi_during_left,0.001256613909406035,0.0042970051983232
ahi_during_non_supine,0.0009156893599301402,0.0025832863684366798
ahi_during_nrem,0.0007313652755135251,0.002632858911761945
ahi_during_prone,0.0015438305174910994,0.004649611038178462
ahi_during_rem,0.0004410161682034669,0.0019217810642024324
ahi_during_right,0.0010820857501799795,0.004450749438179222
ahi_during_supine,0.0006233404863739712,0.002288990273496741
ahi_obstructive,0.0007945002795685086,0.0016661320696085794
ahi_obstructive_during_nrem,0.0009962610133042065,0.002025493025669482
ahi_obstructive_during_rem,0.0006423067691718907,0.002407288279321255
desaturations_above_20,0.009231972812321711,0.009231972812321805
desaturations_mean_nadir,0.0025977753649038503,0.002566213357693041
desaturations_of_10_20,0.005570092009346693,0.017787306644139033
desaturations_of_4_9,0.000899687247104625,0.0014680254481536901
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0010165096240898862,0.0015999013591457686
number_of_all_respiratory_events,0.0010755970297905654,0.0025731735340819867
number_of_apnea_hypopnea_events,0.0007788210418129129,0.0017181089416977888
number_of_central_apnea_hypopnea_events,0.00245904624767879,0.004809977938832702
number_of_desaturation_events,0.0011007435802484243,0.0015398643629566445
number_of_obstructive_apnea_hypopnea_events,0.0007726659342257217,0.0014919937143349547
number_of_transitions_nrem_to_rem,0.011139729806961943,0.011139729806961943
number_of_transitions_nrem_to_wake,0.0017314462702105694,0.0031146094222950266
number_of_transitions_rem_to_nrem,0.011758540937679465,0.011758540937679465
number_of_transitions_rem_to_wake,0.01160918716811415,0.011609187168114153
number_of_transitions_wake_to_nrem,0.001966137725909315,0.0033372214043771386
number_of_transitions_wake_to_rem,0.012521376658098242,0.012521376658098242
number_of_wakes,0.002404441611640436,0.0035597981414804683
odi,0.0009725041764195004,0.002072521830469501
odi_during_left,0.0018079963097845366,0.0027863537235459763
odi_during_non_supine,0.0014440463376955552,0.0026581841961449953
odi_during_nrem,0.0013277108894441019,0.002585244213821365
odi_during_prone,0.002833532011101036,0.008434200807539602
odi_during_rem,0.0008480528150466111,0.0024808414728101423
odi_during_right,0.0021668573239604556,0.003928020132255705
odi_during_supine,0.0007773760579372442,0.00246335821974284
percent_of_deep_sleep_time,0.002454854517824533,0.004275671598697606
percent_of_left_sleep,0.003160223782056556,0.008359437371393722
percent_of_light_sleep_time,0.002024359378947909,0.006098791743892448
percent_of_non_supine_sleep,0.002646100334554711,0.006181573326747469
percent_of_prone_sleep,0.010277037907773958,0.01604707721028823
percent_of_rem_sleep_time,0.0021618367462410623,0.006182242593859912
percent_of_right_sleep,0.004060573870731937,0.012558828519228009
percent_of_sleep_time,0.004298616169024754,0.006848560126922578
percent_of_supine_sleep,0.0026461003345547144,0.006181573326747482
percent_of_wake_time,0.004298616169024817,0.0068485601269226565
rdi,0.0009042506655487232,0.003459539549406607
rdi_during_left,0.0016381983932210612,0.0056516872490225585
rdi_during_non_supine,0.001624293203319455,0.004880935725791148
rdi_during_nrem,0.001133468435271745,0.0032928445135581674
rdi_during_prone,0.0025882739825175555,0.00929396603371218
rdi_during_rem,0.0006258701745625469,0.0025091794746281643
rdi_during_right,0.0015737798461607309,0.005834760405480305
rdi_during_supine,0.0008471337779269619,0.0034524032159208707
rem_latency,0.005949565885023907,0.014228293764178227
saturation_below_80,0.011902886701377244,0.011902886701377239
saturation_below_85,0.017812950502067108,0.01782140089284949
saturation_below_90,0.004109968922427915,0.012428234757551799
saturation_below_or_equal_88,0.00578355628045801,0.005927951262709494
saturation_max_value,0.009230931655726077,0.00923093165572607
saturation_mean,0.000602973072182439,0.000602972904769826
saturation_min_value,0.0010536848605367836,0.0023877998295949595
sleep_efficiency,0.005214251427896412,0.007912654117397907
sleep_latency,0.010070996830411218,0.01175171851811458
snore_above_40db,0.002208066070574543,0.006225594261577657
snore_above_45db,0.001528248747328328,0.0030152365614871833
snore_above_50db,0.002175646022179868,0.003929380488729244
snore_above_60db,0.005159615825560433,0.005465496946463289
snore_db_mean,0.002389111180046017,0.0023548421502859835
time_to_transition_nrem_to_rem,0.00617583005413999,0.017578795180742443
time_to_transition_nrem_to_wake,0.003128254035430082,0.008235416363871397
time_to_transition_rem_to_nrem,0.002706089912190421,0.004276227991393979
time_to_transition_rem_to_wake,0.004272563924678405,0.010063699169607556
time_to_transition_wake_to_nrem,0.010905656404214373,0.013167915030241518
time_to_transition_wake_to_rem,0.010048632485353546,0.013872881174762965
total_arousal_sleep_time,0.006022384426705295,0.01219870808894513
total_deep_sleep_time,0.002478074864221365,0.003810604230913085
total_left_sleep_time,0.0032180174950652393,0.011872809137303365
total_light_sleep_time,0.0019895138326845893,0.006148803246063545
total_non_supine_sleep_time,0.002733731287898913,0.012043991937978307
total_prone_sleep_time,0.010351713056341647,0.009704993672885048
total_rem_sleep_time,0.00305036010786656,0.006069362381342741
total_right_sleep_time,0.0038811507659805783,0.009504175152771436
total_sleep_time,0.005897141533095702,0.012111401301040624
total_supine_sleep_time,0.002658705488994935,0.011457119232123187
total_time_in_bed,0.0059189289687877214,0.009500661664487157
total_valid_apnea_central_sleep_time,0.009014739192366462,0.010970723926549268
total_valid_apnea_sleep_time,0.008629046601250887,0.0113413482305909
total_wake_time,0.0028381878672638808,0.0055660748205010975
total_wake_time_after_sleep_onset,0.0031880076029772854,0.005024662023698176
variability_between_sleep_stage_percents,0.0021609453755456545,0.004905108321837793
