,Age & BMI,"HRV at baseline
"
Allergy,0.0,0.0017566834583509286
Anal fissure,0.0,0.00028996438760260526
Anemia,0.0,0.0007279429414480365
Anxiety,0.0,0.0053169524340224775
Asthma,0.0,0.0028184484274098743
Atopic dermatitis,0.0,0.00022793436537408445
Attention Deficit Disorder (ADHD),0.0,0.0014634388722904732
B12 deficiency,0.0,0.0006282672286278973
Back pain ,0.0,0.0012187840988044252
Basal Cell Carcinoma,0.0,0.0003169573542277938
COVID-19,0.0,0.0004749671311328235
Chronic sinusitis,0.0,0.00024928664167885587
Depression,0.0,0.00105980918242666
Endometriosis and Adenomyosis,0.0,0.00219158434887703
Episodic Vertigo,0.0,0.0002876960682353715
Fatty Liver Disease,0.0,0.0025704949810215192
Fibromyalgia,0.0,0.00023430049422739794
Folic Acid Deficiency,0.0,0.0001773653332332008
Fracture,0.0,0.0009955735778386854
G6PD,0.0,0.00020253015955344554
Gallstone disease,0.0,0.0003119463490332109
Glaucoma,0.0,0.0001906077672686159
Haemorrhoids,0.0,0.0012150305692502827
Hashimoto,0.0,0.00023732748268023404
Headache,0.0,0.0002731028340127845
Hearing loss,0.0,0.0003142358712939777
Heart valve disease,0.0,0.00022518164973166078
Hyperlipidemia,0.0011299230062791188,0.0030657568192570114
Hypertension,0.0007347147878472233,0.003477540272993745
Hyperthyroidism,0.0,0.0002467774468600343
Hypothyroidism,0.0,0.00136868951980738
Insomnia,0.0,0.0002013896882038195
Irritable Bowel Syndrome (IBS),0.0,0.003090916952270276
Migraine,0.0,0.0010606252228659576
Obesity,0.0031137778869191777,0.007539765618106416
Oral aphthae,0.0,0.00025665999410338306
Osteoarthritis,0.0,0.0013348093214275178
Osteopenia,0.0015509721686159641,0.002911195387129924
Osteoporosis,0.0032683265953553,0.0027576670180493573
Peptic Dis,0.0,0.00021002527974819729
Peptic Ulcer Disease,0.0,0.0004114817303293312
Polycystic Ovary Disease,0.0,0.0015060539333576878
Prediabetes,0.0,0.002084694824527388
Primary hypercholesterolaemia,0.0,0.0001799078859828641
Psoriasis,0.0,0.00021863366975239626
Sleep Apnea,0.0,0.011416015929742744
Urinary tract infection,0.0,0.0017394566105825454
Urinary tract stones,0.0,0.00018014772113135073
Vitiligo,0.0,0.00023739853264828439
