,Age & BMI,"HRV at baseline
"
Allergy,0.5,0.4994755570120607
Anal fissure,0.5,0.499447391688771
Anemia,0.5,0.4993252361673414
Anxiety,0.5,0.5107739572255701
Asthma,0.5,0.5033452640768223
Atopic dermatitis,0.5,0.4997858672376873
Attention Deficit Disorder (ADHD),0.5,0.5022067307692307
B12 deficiency,0.5,0.4995559502664298
Back pain ,0.5,0.498978792291202
Basal Cell Carcinoma,0.5,0.4995775242923532
COVID-19,0.5,0.4993169398907104
Chronic sinusitis,0.5,0.4997839239412273
Depression,0.5,0.4997841105354059
Endometriosis and Adenomyosis,0.5,0.4995762711864406
Episodic Vertigo,0.5,0.4997822299651568
Fatty Liver Disease,0.5,0.504347079642901
Fibromyalgia,0.5,0.5
Folic Acid Deficiency,0.5,0.5
Fracture,0.5,0.4988589685075308
G6PD,0.5,0.5
Gallstone disease,0.5,0.4995633187772926
Glaucoma,0.5,0.5
Haemorrhoids,0.5,0.4973664204780123
Hashimoto,0.5,0.4997898276586801
Headache,0.5,0.4997866894197952
Hearing loss,0.5,0.4993559467582653
Heart valve disease,0.5,0.4997904442581726
Hyperlipidemia,0.5035334615182313,0.5131227828201066
Hypertension,0.5039696543854273,0.5031745612459453
Hyperthyroidism,0.5,0.4995762711864406
Hypothyroidism,0.5,0.4997811461101901
Insomnia,0.5,0.4995773457311919
Irritable Bowel Syndrome (IBS),0.5,0.5026203314732376
Migraine,0.5,0.4995446265938069
Obesity,0.641567762147182,0.590031980801478
Oral aphthae,0.5,0.4997827975673327
Osteoarthritis,0.5,0.5
Osteopenia,0.5076282159545122,0.503377807802736
Osteoporosis,0.5,0.5075757575757576
Peptic Dis,0.5,0.5
Peptic Ulcer Disease,0.5,0.4990605918271489
Polycystic Ovary Disease,0.5,0.4995619798510731
Prediabetes,0.5,0.5043809188508392
Primary hypercholesterolaemia,0.5,0.5
Psoriasis,0.5,0.4997867803837953
Sleep Apnea,0.5,0.5
Urinary tract infection,0.5,0.5015784324049211
Urinary tract stones,0.5,0.5
Vitiligo,0.5,0.4997914929107589
