,Age & BMI,"HRV at baseline
"
Allergy,0.5,0.5065606963652018
Anal abscess,0.5,0.4997686256362795
Anal fissure,0.5,0.5064085716849784
Anemia,0.5,0.4993006993006993
Anxiety,0.5,0.5054840893703453
Asthma,0.5,0.5006275888038157
Atopic dermatitis,0.5,0.4990539262062441
Attention Deficit Disorder (ADHD),0.5,0.5028380844970098
B12 deficiency,0.5,0.49870489059001333
Back pain ,0.5,0.5013473683268928
Basal Cell Carcinoma,0.5,0.4992993928070995
COVID-19,0.5,0.5039588141310136
Chronic sinusitis,0.5,0.499057048561999
Depression,0.5,0.4995300751879699
Episodic Vertigo,0.5,0.4997668997668997
Fatty Liver Disease,0.5,0.5046844714021157
Fracture,0.5,0.49870874480249483
G6PD,0.5,0.4995359628770301
Gallstone disease,0.5,0.4992934526613283
Glaucoma,0.5,0.4997685185185185
Gout,0.5,0.4983482774893817
Haemorrhoids,0.5,0.49954584329184004
Headache,0.5,0.499767008387698
Hearing loss,0.5,0.4987992315081652
Heart valve disease,0.5,0.4993003731343283
Hyperlipidemia,0.536396299977066,0.5395522768391815
Hypertension,0.5336847588403502,0.5473425141664452
Hypothyroidism,0.5,0.4992957746478873
Insomnia,0.5,0.4995357474466109
Irritable Bowel Syndrome (IBS),0.5,0.4995280792826805
Migraine,0.5,0.4988106565176022
Obesity,0.5687717248550985,0.5777143898811373
Oral aphthae,0.5,0.4983189241114313
Osteoarthritis,0.5,0.499061473486626
Peptic Dis,0.5,0.5104580426810026
Peptic Ulcer Disease,0.5,0.4966954753431621
Prediabetes,0.5,0.5036763516355518
Psoriasis,0.5,0.4988168480832939
Sleep Apnea,0.5,0.5200073105702244
Urinary tract stones,0.5,0.502413267870844
Vitiligo,0.5,0.5
