,Age & BMI,"HRV at baseline
"
Sleep Apnea,0.5,0.5200073105702244
Hypertension,0.5336847588403502,0.5473425141664452
Peptic Dis,0.5,0.5104580426810026
Obesity,0.5687717248550985,0.5777143898811373
Allergy,0.5,0.5065606963652018
Anal fissure,0.5,0.5064085716849784
Anxiety,0.5,0.5054840893703453
Fatty Liver Disease,0.5,0.5046844714021157
COVID-19,0.5,0.5039588141310136
Prediabetes,0.5,0.5036763516355518
Hyperlipidemia,0.536396299977066,0.5395522768391815
Attention Deficit Disorder (ADHD),0.5,0.5028380844970098
Urinary tract stones,0.5,0.502413267870844
Vitiligo,0.5,0.5
