,Age & BMI,Gut MB metabolic pathways
AHI,0.47059563225349715,0.42250083862796844
ahi_4_percent,0.4662486317864539,0.4251769549784219
ahi_central,0.181690306257967,0.14341755276247145
ahi_central_during_nrem,0.15679224439372846,0.1435058334726157
ahi_central_during_rem,0.17222603825091304,0.1333409659003124
ahi_during_left,0.33795691256628785,0.25576266809356407
ahi_during_non_supine,0.40122496859225765,0.3306117667787812
ahi_during_nrem,0.43660208210511187,0.38492307082772625
ahi_during_prone,0.33910063754332403,0.25046769194841956
ahi_during_rem,0.4812099132057032,0.41911569097379614
ahi_during_right,0.3292281046187248,0.2521709990624079
ahi_during_supine,0.45934653380757,0.39982246916217157
ahi_obstructive,0.4804018858893726,0.4338804391666604
ahi_obstructive_during_nrem,0.44654630726834216,0.39306176927202624
ahi_obstructive_during_rem,0.48046456409649124,0.4219026583501866
desaturations_above_20,0.16909540173493515,0.11961397919889061
desaturations_mean_nadir,0.3428413749935155,0.29493421352209875
desaturations_of_10_20,0.25244368687853846,0.20367868020418795
desaturations_of_4_9,0.45799231248916783,0.41582423961932263
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4418980059859974,0.3982481838943851
number_of_all_respiratory_events,0.31761311474345033,0.27286903020762776
number_of_apnea_hypopnea_events,0.4371088523633409,0.39032620827663866
number_of_central_apnea_hypopnea_events,0.1835454755532765,0.13851985471433892
number_of_desaturation_events,0.45277860182349244,0.40341140553812643
number_of_obstructive_apnea_hypopnea_events,0.44674937041181634,0.39356213874955315
number_of_transitions_nrem_to_rem,0.0356740757602966,0.03393190513631155
number_of_transitions_nrem_to_wake,0.1247878273335922,0.0787775048770826
number_of_transitions_rem_to_nrem,0.076139210600696,0.061669935582147506
number_of_transitions_rem_to_wake,0.01075653348914295,0.0087119077333551
number_of_transitions_wake_to_nrem,0.13671527994914584,0.08969551606528589
number_of_transitions_wake_to_rem,0.02841272648250685,0.0127603800844304
number_of_wakes,0.11610898899466315,0.0786995762420987
odi,0.4770234924485487,0.43524866507117105
odi_during_left,0.3948978264781608,0.31497099753917257
odi_during_non_supine,0.44875876332606357,0.3932561108366833
odi_during_nrem,0.42168460982624384,0.3735734447363207
odi_during_prone,0.3764219548559889,0.3054271802956413
odi_during_rem,0.5117968900560983,0.46106275281854214
odi_during_right,0.37175956698038637,0.31037414560835336
odi_during_supine,0.4416825868519675,0.38026293186138205
percent_of_deep_sleep_time,0.17164210442585753,0.13261205398599554
percent_of_left_sleep,0.0269356619979855,0.0476960443220618
percent_of_light_sleep_time,0.13374019113649038,0.0983572965684521
percent_of_non_supine_sleep,0.05750952274587455,0.052075828199468946
percent_of_prone_sleep,0.025195804450883652,0.031314333767177446
percent_of_rem_sleep_time,0.0537783226250429,0.0409340493313643
percent_of_right_sleep,0.0479547127774058,0.05546864060344875
percent_of_sleep_time,0.07209819093335454,0.022928968095914153
percent_of_supine_sleep,0.0575095233730088,0.0520758287675338
percent_of_wake_time,0.07209819561145385,0.02292897364002785
rdi,0.36921772456289803,0.32352290821615814
rdi_during_left,0.22406025938449164,0.16181149089013255
rdi_during_non_supine,0.2753527056104865,0.2197204975449612
rdi_during_nrem,0.3253436863403405,0.27455753570562474
rdi_during_prone,0.204837693396484,0.1633340148000525
rdi_during_rem,0.391151768999736,0.3426497374763888
rdi_during_right,0.20243203513722963,0.1344735527097617
rdi_during_supine,0.37070447294007325,0.30936400443303386
rem_latency,0.0473796909374284,0.0046454274546806
saturation_below_80,0.15618938457743964,0.116395561062788
saturation_below_85,0.2225443361370023,0.1724100050677663
saturation_below_90,0.3018573834798114,0.23421252734915576
saturation_below_or_equal_88,0.28265244196204997,0.22412794845174866
saturation_max_value,0.0843427154212011,0.08370592670990125
saturation_mean,0.4429864151103674,0.39297376299233877
saturation_min_value,0.372832220613753,0.3185820516903646
sleep_efficiency,0.05881958294708825,0.03887664286196785
sleep_latency,0.0554299818092769,-0.0183228324953634
snore_above_40db,0.12070190586895435,0.08816143331176746
snore_above_45db,0.2997922319651697,0.23860985103114785
snore_above_50db,0.2265701370714742,0.1607931853685646
snore_above_60db,0.13029773111127668,0.10955464438363065
snore_db_mean,0.28425190882618256,0.22203768119755435
time_to_transition_nrem_to_rem,0.02927330566485515,-0.0175320035564884
time_to_transition_nrem_to_wake,0.08048527371666675,0.0223740609349806
time_to_transition_rem_to_nrem,0.0930575013986571,0.0454857403283784
time_to_transition_rem_to_wake,0.021798741277349848,0.04939960165198585
time_to_transition_wake_to_nrem,0.12865709005878234,0.0832474289524355
time_to_transition_wake_to_rem,0.0709342403809991,0.0544666855382111
total_arousal_sleep_time,-0.0046423911991227,0.034964104139536545
total_deep_sleep_time,0.1532248949366927,0.14574806239521915
total_left_sleep_time,0.02270045517332535,0.0385181619654321
total_light_sleep_time,0.0885441156314003,0.049155228488813096
total_non_supine_sleep_time,0.0456679235289518,0.05836262104947665
total_prone_sleep_time,0.02010402797176875,0.021363149500920747
total_rem_sleep_time,0.00468375389308745,0.04833321673941495
total_right_sleep_time,0.05442918439417125,0.06397231923775135
total_sleep_time,-0.0036166510612394,0.030917837577402997
total_supine_sleep_time,0.05234030714678755,0.04201434383603925
total_time_in_bed,-0.005318412729597899,0.03110821756370035
total_valid_apnea_central_sleep_time,0.01803343447480015,0.041246228734408044
total_valid_apnea_sleep_time,0.0222367623810375,0.0465986803136103
total_wake_time,0.0631744196014577,0.0267017876467441
total_wake_time_after_sleep_onset,0.0824639259436411,0.026657573430991
variability_between_sleep_stage_percents,0.1414115719232649,0.1074857885275686
