,"Age, BMI & VAT","Sleep Quality
(average of nights)"
fortified_wine__glasses_week,True,True
hours_outdoors_winter,True,True
hours_driving,True,True
liqueurs_measures_week,True,True
other_alcoholic_glasses_week,True,True
physical_activity_maderate_days_a_week,False,True
vigorous_activity_minutes,False,True
sleep_hours_in_24H,True,True
work_hours,False,True
work_days_a_week,False,True
hours_using_computer_not_work,False,True
work_hours_day,False,True
hours_watching_tv,False,False
hours_outdoors_summer,True,True
white_wine_glasses_week,True,True
walking_minutes_day,False,True
walking_10min_days_a_week,False,False
beer_cider_pints_week,True,True
moderate_activity_minutes,False,True
drink_alcohol_with_meals_partial,True,True
drink_alcohol_with_meals_yes,True,True
mobile_phone_side_of_head_Left,True,True
mobile_phone_side_of_head_Right,True,True
drive_faster_often_Neverorrarely,True,True
drive_faster_often_Sometimes,True,True
pet_present_no,True,True
pet_present_yes,True,True
mobile_phone_use_duration_per_week_13hours,True,True
mobile_phone_use_duration_per_week_3059minutes,True,True
mobile_phone_use_duration_per_week_46hours,True,True
mobile_phone_use_duration_per_week_529minutes,True,True
mobile_phone_use_duration_per_week_Morethan6hours,True,True
why_stop_drinking_Otherreasons,True,True
why_stop_drinking_dontknow,True,True
visit_friends_family_times_24timesaweek,True,True
visit_friends_family_times_Onceaweek,True,True
high_exercise_times_a_month_Fourtofivetimesaweek,True,True
high_exercise_times_a_month_Onceaweek,True,True
high_exercise_times_a_month_Twoorthreetimesaweek,True,True
high_exercise_times_a_month_Twoorthreetimesinthelastmonth,True,True
easy_getting_up_Doesnotwakeupeasily,True,True
easy_getting_up_Wakesupprettyeasily,True,True
easy_getting_up_Wakesupveryeasily,True,True
manual_physical_work_Sometimes,True,True
manual_physical_work_no,True,True
alcohol_drink_12timesaweek,True,True
alcohol_drink_13timesamonth,True,True
alcohol_drink_Inspecialcasesonly,True,True
alcohol_drink_Never,True,True
high_exercise_duration_Betweenaquarterofanhourandhalfanhour,True,True
high_exercise_duration_Betweenanhourandanhourandahalf,True,True
high_exercise_duration_Betweenhalfanhourandanhour,True,True
falling_asleep_during_daytime_Fromtimetotime,True,True
falling_asleep_during_daytime_Notorrarely,True,True
tobacco_past_how_often_Ineversmoked,True,True
tobacco_past_how_often_Ionlytriedonceortwice,True,True
tobacco_past_how_often_Ismokedmostoralldays,True,True
tobacco_past_how_often_Ismokedsometimes,True,True
smoke_tobacco_now_no,True,True
years_using_mobile_phone_Over8years,True,True
nap_during_day_Fromtimetotime,True,True
nap_during_day_Notorrarely,True,True
consider_yourself_morning_evening_Immoreofamorningmanthananevening,True,True
consider_yourself_morning_evening_Immoreofaneveningmanthanamorning,True,True
consider_yourself_morning_evening_Imtotallyamorningman,True,True
usual_walking_pace_Average,True,True
usual_walking_pace_Fast,False,False
usual_walking_pace_Moderate,True,True
shift_work_Sometimes,True,True
shift_work_no,True,True
snoring_dontknow,True,True
snoring_no,False,False
snoring_yes,True,True
pet_past_no,True,True
pet_past_yes,True,True
smoke_houshold_no,True,True
trouble_falling_a_sleep_Fromtimetotime,True,True
trouble_falling_a_sleep_Notorrarely,True,True
trouble_falling_a_sleep_Usuallyyes,True,True
climb_staires_tymes_a_day_15,True,True
climb_staires_tymes_a_day_610,True,True
climb_staires_tymes_a_day_Morethan20times,True,True
climb_staires_tymes_a_day_Zero,True,True
