,Age & BMI,"Sleep Quality at baseline
"
Allergy,0.0,0.0022105316088573803
Anal abscess,0.0,0.009755111555125595
Anal fissure,0.0,0.00030201003732677065
Anemia,0.0,0.00015682866252838098
Anxiety,0.0,0.0025264535296960944
Asthma,0.0,0.0009898259266863966
Atopic dermatitis,0.0,7.763971680685516e-05
Attention Deficit Disorder (ADHD),0.0,0.001595631454100168
B12 deficiency,0.0,0.0002745459128625672
Back pain ,0.0,0.002293686300263682
Basal Cell Carcinoma,0.0,0.0001844905126135691
COVID-19,0.0,0.0018312530878631479
Chronic sinusitis,0.0,0.00028973825233700746
Depression,0.0,0.006041571775116186
Episodic Vertigo,0.0,0.00019957807610752597
Fatty Liver Disease,0.0007803689247218,0.002182336030108376
Fracture,0.0,0.0016030104912597262
G6PD,0.0,0.00018039197645593528
Gallstone disease,0.0,0.00012306938401300402
Glaucoma,0.0,0.003544458350188458
Gout,0.0,0.0026243739443418982
Haemorrhoids,0.0,0.0014881352575494252
Headache,0.0,0.005693767864173244
Hearing loss,0.0,0.0003579853838546781
Heart valve disease,0.0,0.0001621205365218287
Hyperlipidemia,0.00244904552767506,0.003901689742274886
Hypertension,0.0023352740115096748,0.003831060513092509
Hypothyroidism,0.0,0.00032336062218450446
Insomnia,0.0,0.0037701837400261323
Irritable Bowel Syndrome (IBS),0.0,0.0016472254262663232
Migraine,0.0,0.0009782688283713227
Obesity,0.005076762649025679,0.009043926389432733
Oral aphthae,0.0,0.00024839322574305925
Osteoarthritis,0.0,0.0002954221966418292
Peptic Dis,0.0,0.00014767512557241743
Peptic Ulcer Disease,0.0,0.00016947144875559034
Prediabetes,0.00017723623551875784,0.00216085344729725
Psoriasis,0.0,0.00021991016114245772
Sleep Apnea,7.763971680685517e-05,0.009944541397928063
Urinary tract stones,0.0,0.0018690562552176465
Vitiligo,0.0,5.5480559084673764e-05
