,Age & BMI,"Sleep Quality at baseline
"
Obesity,0.5687717248550985,0.5998090077101226
Insomnia,0.5,0.5189986429540747
Sleep Apnea,0.5,0.5177603853100542
Hyperlipidemia,0.536396299977066,0.5501146701322529
Depression,0.5,0.5079706477732793
Anxiety,0.5,0.5061949898442789
Fatty Liver Disease,0.5,0.5046592705876254
COVID-19,0.5,0.5033788981596544
Allergy,0.5,0.5032492051259212
Prediabetes,0.5,0.5024926931331629
Back pain ,0.5,0.5020842278517247
Haemorrhoids,0.5,0.5019270396790828
Fracture,0.5,0.5016973102910602
