,Age & BMI,"Sleep Quality at baseline
"
Allergy,0.0,0.0006873897845181754
Anal fissure,0.0,0.001647965703685763
Anemia,0.0,0.0009849536574923774
Anxiety,0.0,0.004976799734187964
Asthma,0.0,0.0011601546895114276
Atopic dermatitis,0.0,0.00016507479428856865
Attention Deficit Disorder (ADHD),0.0,0.0011926635318754673
B12 deficiency,0.0,0.0004936546991456599
Back pain ,0.0,0.0020323720753864386
Basal Cell Carcinoma,0.0,0.00013636457876391864
COVID-19,0.0,0.00028341166940919763
Chronic sinusitis,0.0,0.0001650211927969351
Depression,0.0,0.0032361707194783346
Endometriosis and Adenomyosis,0.0,0.00025119242035408077
Episodic Vertigo,0.0,0.00017242914958378135
Fatty Liver Disease,0.0,0.006131968463643673
Fibromyalgia,0.0,0.0002633821523582643
Folic Acid Deficiency,0.0,0.0001869276242810748
Fracture,0.0,0.00040414597945651797
G6PD,0.0,8.74690546815675e-05
Gallstone disease,0.0,0.0003557474093420612
Glaucoma,0.0,0.003532467860390222
Haemorrhoids,0.0,0.0014889761690582127
Hashimoto,0.0,5.0419911198433004e-05
Headache,0.0,0.00012257548367333235
Hearing loss,0.0,0.0012065347862723896
Heart valve disease,0.0,9.801643841305955e-05
Hyperlipidemia,0.0011299230062791188,0.003205794157882492
Hypertension,0.0007347147878472233,0.005311984280497664
Hyperthyroidism,0.0,0.0002676133622057465
Hypothyroidism,0.0,0.0009716088743045002
Insomnia,0.0,0.0014382005236291283
Irritable Bowel Syndrome (IBS),0.0,0.0002893285481649672
Migraine,0.0,0.00043002219146241955
Obesity,0.0031163106625181044,0.009054083344439528
Oral aphthae,0.0,0.002048522330535522
Osteoarthritis,0.0,0.003611819959725091
Osteopenia,0.0015509721686159641,0.005836405127835034
Osteoporosis,0.0032683265953553,0.005029946712653716
Peptic Dis,0.0,0.00011635679006990863
Peptic Ulcer Disease,0.0,0.0013057570006311536
Polycystic Ovary Disease,0.0,0.0002012617738073594
Prediabetes,0.0,0.0034441636887354516
Primary hypercholesterolaemia,0.0,8.254739938372719e-05
Psoriasis,0.0,0.0004166671112412287
Sleep Apnea,0.0,0.01472115682649218
Urinary tract infection,0.0,0.0007058678531245215
Urinary tract stones,0.0,0.00031017045745857674
Vitiligo,0.0,0.005480366120042086
