,"Age, BMI & VAT",Body Composition
AHI,0.5170001067517573,0.5153034295995191
ahi_4_percent,0.5016749998874516,0.4980384590460093
ahi_central,0.2295464688472282,0.22873972372261758
ahi_central_during_nrem,0.20657881284540874,0.20445810651647534
ahi_central_during_rem,0.2219586972889078,0.22172877307114802
ahi_during_left,0.38781482229536646,0.38367345846757106
ahi_during_non_supine,0.4461922681259019,0.4424416794951294
ahi_during_nrem,0.4828445036680694,0.4817158098938559
ahi_during_prone,0.39529644333014446,0.3906658784547269
ahi_during_rem,0.5172218894323918,0.5154234891436754
ahi_during_right,0.38023591208270213,0.3781444428520397
ahi_during_supine,0.5192210165085472,0.5185237995056367
ahi_obstructive,0.526333372597982,0.5236932487502672
ahi_obstructive_during_nrem,0.49284346286662006,0.4914584160622148
ahi_obstructive_during_rem,0.5190406424424245,0.5167758896183653
desaturations_above_20,0.1382339399381602,0.13823416069658775
desaturations_mean_nadir,0.3583668227820044,0.3583667226860189
desaturations_of_10_20,0.2701356560361411,0.2639881661823378
desaturations_of_4_9,0.5009730866548843,0.4982479295830732
number_of_4_percent_desaturation_apnea_hypopnea_events,0.48363825161299456,0.4817535091292009
number_of_all_respiratory_events,0.3943904284730302,0.39863854232868695
number_of_apnea_hypopnea_events,0.4928104788579033,0.490629482167473
number_of_central_apnea_hypopnea_events,0.2390099853320588,0.23079582233450519
number_of_desaturation_events,0.48508183124457555,0.48319790808223917
number_of_obstructive_apnea_hypopnea_events,0.501962187936029,0.5002183383381551
number_of_transitions_nrem_to_rem,0.019453425497849952,0.02050339656881675
number_of_transitions_nrem_to_wake,0.15047669080897305,0.1469047465852438
number_of_transitions_rem_to_nrem,-0.009725906021797251,-0.0077700196384263495
number_of_transitions_rem_to_wake,-0.0341543057367174,-0.0341543057367173
number_of_transitions_wake_to_nrem,0.1626890553726237,0.16065114233470415
number_of_transitions_wake_to_rem,-0.0327969454650045,-0.0327969454650045
number_of_wakes,0.1457351722470399,0.1422475033192444
odi,0.5028111445697862,0.4988718936680089
odi_during_left,0.41864721051406295,0.4117201503282229
odi_during_non_supine,0.4571614809638307,0.45247540518347185
odi_during_nrem,0.4585158078453634,0.4540933021927507
odi_during_prone,0.4032157107829674,0.3954992506830425
odi_during_rem,0.5196679472599308,0.5159662982699811
odi_during_right,0.39881046899308903,0.3906446188400978
odi_during_supine,0.5012753304742977,0.4971840799397241
percent_of_deep_sleep_time,0.22996553142729276,0.2273539132510271
percent_of_left_sleep,0.10226769821079365,0.114065684831548
percent_of_light_sleep_time,0.19577174599762726,0.19064749680264054
percent_of_non_supine_sleep,0.1519355226164863,0.15641953526766766
percent_of_prone_sleep,-0.03356885882609775,-0.03356885882609775
percent_of_rem_sleep_time,0.1397725162699081,0.1355342306616481
percent_of_right_sleep,0.14495334806178783,0.14214636844619336
percent_of_sleep_time,0.09139648567653945,0.0847495732145883
percent_of_supine_sleep,0.15193552261648635,0.15641953526766766
percent_of_wake_time,0.09139648567653991,0.08474957321458855
rdi,0.431008527287268,0.4347166636761348
rdi_during_left,0.2930051009615851,0.29018270243118066
rdi_during_non_supine,0.3388832599424363,0.34060508707918713
rdi_during_nrem,0.3916767267493069,0.39806171552178893
rdi_during_prone,0.29313907938478473,0.2873992143262577
rdi_during_rem,0.44067554109476703,0.4402362253065709
rdi_during_right,0.2727883673912558,0.27048787837257027
rdi_during_supine,0.4475820251987764,0.4531687975813311
rem_latency,0.0748283068738412,0.05914475337109335
saturation_below_80,0.1262641163678754,0.09746547491687825
saturation_below_85,0.20122783115553972,0.1899177088591839
saturation_below_90,0.3117940733750263,0.3084757389206883
saturation_below_or_equal_88,0.2922992646106401,0.2842729417150976
saturation_max_value,0.02625998424252495,0.02632590406093345
saturation_mean,0.47729897763225293,0.47629450995559963
saturation_min_value,0.3899197402494018,0.3913879814192548
sleep_efficiency,0.06750426944953106,0.07682358674830225
sleep_latency,0.0182172580267618,0.03805956382884125
snore_above_40db,0.1561625866969677,0.15080692988948605
snore_above_45db,0.35264814753214474,0.3624910513888479
snore_above_50db,0.29332894067700543,0.29171599541504367
snore_above_60db,0.16438644896079646,0.15745608244111364
snore_db_mean,0.31979658955053747,0.3181002876491913
time_to_transition_nrem_to_rem,-0.0327543592176905,0.06426143500911505
time_to_transition_nrem_to_wake,0.1009247392695918,0.09519462051561965
time_to_transition_rem_to_nrem,0.150552830754076,0.13932556928425782
time_to_transition_rem_to_wake,0.02744912958650245,0.03272347992515545
time_to_transition_wake_to_nrem,0.20481984217365123,0.1980684789145765
time_to_transition_wake_to_rem,0.10957941794865515,0.10044973024375314
total_arousal_sleep_time,0.060970620713613005,0.04692331179576955
total_deep_sleep_time,0.20845075060314494,0.20093818549764494
total_left_sleep_time,0.11026133106147475,0.12006344910940606
total_light_sleep_time,0.14364048119387995,0.13912771766019194
total_non_supine_sleep_time,0.15608611796971625,0.1635371385222818
total_prone_sleep_time,-0.00026228222717335,0.02517410445913315
total_rem_sleep_time,0.10974504172061761,0.09430999195142731
total_right_sleep_time,0.1541630804904348,0.15612671838996356
total_sleep_time,0.05955442875147965,0.044795241092521296
total_supine_sleep_time,0.12620027246202276,0.12293942084932144
total_time_in_bed,0.0549721101577309,0.0517656706815869
total_valid_apnea_central_sleep_time,0.06475961648454225,0.04113442923855405
total_valid_apnea_sleep_time,0.07689582261044381,0.06986175312750355
total_wake_time,0.09328545911901055,0.0929575897814271
total_wake_time_after_sleep_onset,0.1057630672660774,0.0976454700278828
variability_between_sleep_stage_percents,0.2016051519431003,0.19916330836368157
