,"Age, BMI & VAT",Body Composition
time_to_transition_nrem_to_rem,0.05887178075103355,0.0827427659189297
percent_of_sleep_time,0.0978775756860697,0.10723974972774264
percent_of_wake_time,0.09787757568606985,0.10723974972774265
total_light_sleep_time,0.1661754023936397,0.1751561666710991
percent_of_right_sleep,0.09449997609380009,0.10327578374483865
sleep_efficiency,0.08255405805037369,0.0901167363688172
saturation_below_90,0.29292420123942514,0.29896973506267643
number_of_wakes,0.195593686566211,0.20146892011571765
snore_above_45db,0.3950500125451481,0.3999710993244585
number_of_transitions_wake_to_nrem,0.20833207797613057,0.21220527446013537
total_right_sleep_time,0.09620928481757896,0.10000122408375015
snore_above_50db,0.32572429042530304,0.3294592780356651
total_wake_time,0.12404517312582505,0.12704516320898734
saturation_below_or_equal_88,0.26055581849472625,0.2632917970981915
number_of_transitions_nrem_to_wake,0.22174931739953865,0.22344773503848026
saturation_max_value,0.21361694945066478,0.215207495218151
snore_db_mean,0.35566182343647734,0.3564952886135943
saturation_mean,0.5895157505094222,0.5903327420299607
saturation_min_value,0.43053911239024495,0.43068219481544295
