,"Age, BMI & VAT",Body Composition
AHI,0.0010635224479971998,0.002126995621663494
ahi_4_percent,0.0015571744224276178,0.002111926621480955
ahi_central,0.0032969948331280064,0.0033129087312181852
ahi_central_during_nrem,0.004028470451326937,0.004364082658152496
ahi_central_during_rem,0.004068613978750657,0.004658265250781564
ahi_during_left,0.0018729317652067601,0.0032745047390641342
ahi_during_non_supine,0.001799477723488526,0.002731985698505152
ahi_during_nrem,0.0013477092271175321,0.002131279802290076
ahi_during_prone,0.002250981904976613,0.004612274139712228
ahi_during_rem,0.0009908920780528799,0.0016559017309362802
ahi_during_right,0.0015122567729027824,0.004161736000439421
ahi_during_supine,0.0009555855428407155,0.001769904308991376
ahi_obstructive,0.0010114170182218883,0.0018264739269921596
ahi_obstructive_during_nrem,0.001257464570957759,0.0020510135458725915
ahi_obstructive_during_rem,0.0009455787367380963,0.0015396365413536455
desaturations_above_20,0.018955876363658267,0.01898227534750418
desaturations_mean_nadir,0.0021347880594887116,0.0021583368184805497
desaturations_of_10_20,0.005855573366381328,0.009477448651226256
desaturations_of_4_9,0.0014274368575307283,0.0018813565281352728
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0017312891625225995,0.0023158328338903625
number_of_all_respiratory_events,0.0015632286771485387,0.002486075878353006
number_of_apnea_hypopnea_events,0.0012432830507612222,0.0018641912946639973
number_of_central_apnea_hypopnea_events,0.0030290311737859697,0.004963736376273051
number_of_desaturation_events,0.0018588203098600477,0.0023490849745248783
number_of_obstructive_apnea_hypopnea_events,0.001150837799817891,0.0017173617290860861
number_of_transitions_nrem_to_rem,0.019265864062479317,0.017272346550820248
number_of_transitions_nrem_to_wake,0.005482859991341585,0.005836018900096948
number_of_transitions_rem_to_nrem,0.016069537949521377,0.014825900049276301
number_of_transitions_rem_to_wake,0.012206908294096572,0.012206908294096585
number_of_transitions_wake_to_nrem,0.004976616381980253,0.005310030221269411
number_of_transitions_wake_to_rem,0.013522742981240538,0.013522742981240538
number_of_wakes,0.00497174586395941,0.0051448763403364765
odi,0.0016994533249544267,0.0021172071944677963
odi_during_left,0.002588113552265914,0.003292590350441571
odi_during_non_supine,0.0031987314483391824,0.003906451724252163
odi_during_nrem,0.002553088455608725,0.002692782370696211
odi_during_prone,0.0026235203610185664,0.004848051881525202
odi_during_rem,0.0014541782682836687,0.0020257603381306916
odi_during_right,0.0024198263250230717,0.0058396876120432786
odi_during_supine,0.0011598329308114147,0.0020096438743287632
percent_of_deep_sleep_time,0.002018123597010053,0.0027504364977357777
percent_of_left_sleep,0.005597061652378487,0.009209148213327117
percent_of_light_sleep_time,0.0023794568400185056,0.004383547196150235
percent_of_non_supine_sleep,0.004311779550583808,0.006957310374631424
percent_of_prone_sleep,0.011977601829772862,0.011994496613665426
percent_of_rem_sleep_time,0.0038882539346473807,0.005059312034163097
percent_of_right_sleep,0.004565238470456551,0.00847256533045981
percent_of_sleep_time,0.005016648975147339,0.006928457802247817
percent_of_supine_sleep,0.004311779550583796,0.006957310374631394
percent_of_wake_time,0.005016648975147198,0.006928457802247778
rdi,0.0013377706739994943,0.002326118751559389
rdi_during_left,0.0025497340662211346,0.004332008417008036
rdi_during_non_supine,0.001708684922286525,0.003434901765949697
rdi_during_nrem,0.001507878558421854,0.0027166168277745393
rdi_during_prone,0.002578234441377275,0.005685582791559216
rdi_during_rem,0.0011880021362758128,0.002266077392727377
rdi_during_right,0.002257145163760728,0.004425898551229859
rdi_during_supine,0.0012017360056311415,0.002173604939391005
