,"Age, BMI & VAT",Body Composition
sleep_latency,0.0182172580267618,0.03805956382884125
percent_of_left_sleep,0.10226769821079365,0.114065684831548
snore_above_45db,0.35264814753214474,0.3624910513888479
total_left_sleep_time,0.11026133106147475,0.12006344910940606
sleep_efficiency,0.06750426944953106,0.07682358674830225
total_non_supine_sleep_time,0.15608611796971625,0.1635371385222818
rdi_during_nrem,0.3916767267493069,0.39806171552178893
rdi_during_supine,0.4475820251987764,0.4531687975813311
time_to_transition_rem_to_wake,0.02744912958650245,0.03272347992515545
percent_of_non_supine_sleep,0.1519355226164863,0.15641953526766766
percent_of_supine_sleep,0.15193552261648635,0.15641953526766766
number_of_all_respiratory_events,0.3943904284730302,0.39863854232868695
rdi,0.431008527287268,0.4347166636761348
total_right_sleep_time,0.1541630804904348,0.15612671838996356
rdi_during_non_supine,0.3388832599424363,0.34060508707918713
saturation_min_value,0.3899197402494018,0.3913879814192548
