,Age & BMI,Diet
total_valid_apnea_sleep_time,0.01996032378920575,0.12021953461138579
total_valid_apnea_central_sleep_time,0.02098267208943,0.1163510821962325
total_rem_sleep_time,0.00565489950942775,0.0695701515216833
number_of_transitions_nrem_to_rem,0.046513462665763644,0.1082338908819947
saturation_max_value,0.10134572385053181,0.15979356745682521
number_of_transitions_wake_to_rem,0.01876292917535375,0.06516283709005
total_light_sleep_time,0.08725725066216536,0.12278257219430155
total_non_supine_sleep_time,0.04920692877975005,0.0683757732738029
sleep_efficiency,0.04099865885978485,0.05561259219656295
number_of_transitions_rem_to_nrem,0.0665518097331518,0.0797053041157276
percent_of_rem_sleep_time,0.044579798645852556,0.0567939174269216
total_right_sleep_time,0.0571682735489054,0.06886742966207851
