,"Age, BMI & VAT",Hematopoietic system
saturation_max_value,0.08660267390667015,0.19684728691020795
time_to_transition_rem_to_nrem,0.0937557961369141,0.12610515887996265
number_of_wakes,0.10032175394708515,0.11467727522756746
saturation_mean,0.4450205014644021,0.4592919406626105
number_of_transitions_rem_to_nrem,0.020674444781889102,0.0314697446770146
time_to_transition_rem_to_wake,0.051371790197522346,0.06098690144134235
total_wake_time_after_sleep_onset,0.06169319009988635,0.07018969284404544
percent_of_sleep_time,0.050351426038843794,0.05794870773886635
percent_of_wake_time,0.050351433207195595,0.0579487143266819
rdi_during_left,0.2416017833659223,0.2491159781482482
percent_of_left_sleep,0.03762924139775975,0.0449535817912206
