,Age & BMI,Body Composition
total_time_in_bed,0.0014317542947287999,0.0632785597357218
total_left_sleep_time,0.02552117000762235,0.08499672555564686
percent_of_left_sleep,0.0244508000362557,0.0753507681219014
percent_of_non_supine_sleep,0.0354638103827857,0.07881104354093005
percent_of_supine_sleep,0.0354638102196026,0.078811043105251
total_supine_sleep_time,0.02710009750888305,0.06553651116508855
number_of_transitions_rem_to_nrem,0.034060799072189354,0.0715525457729874
total_valid_apnea_sleep_time,0.0066051791211651,0.04342976725924255
total_non_supine_sleep_time,0.04091136875622415,0.07180662967947155
time_to_transition_wake_to_rem,0.02514095426364775,0.046837207003908546
rdi_during_right,0.1943802903244564,0.2122186360422775
total_valid_apnea_central_sleep_time,0.01578302297406915,0.029061269926228497
number_of_transitions_nrem_to_rem,0.0324698904053568,0.0447945538089134
total_right_sleep_time,0.0616572845714768,0.07197264059958405
rdi_during_supine,0.35478167096768387,0.3625803531741093
