,"Age, BMI & VAT",Body Composition
saturation_below_85,0.0888176170772753,0.1684318915255949
saturation_below_80,0.062363351169606146,0.139791244732441
saturation_below_or_equal_88,0.2222365349773192,0.26845842125985586
desaturations_above_20,0.0186091885688612,0.06373375341500635
desaturations_of_10_20,0.1380602129089491,0.1780244473255411
total_prone_sleep_time,0.0032056558558679997,0.0399572722232535
time_to_transition_nrem_to_rem,0.023831589906692797,0.0522866615364346
number_of_transitions_rem_to_wake,0.02921773300498105,0.052103294055623195
number_of_transitions_rem_to_nrem,0.00657193457146025,0.0185210467853457
total_rem_sleep_time,0.02952930535405665,0.03958819765286235
