,clinical_OSA
0,0.4997559785261103
1,0.4997559785261103
2,0.4997559785261103
3,0.4997559785261103
4,0.4997559785261103
5,0.4997559785261103
6,0.4997559785261103
7,0.4997559785261103
8,0.5
9,0.4997559785261103
10,0.4997559785261103
11,0.4997559785261103
12,0.4997559785261103
13,0.4997559785261103
14,0.4997559785261103
15,0.4997559785261103
16,0.4997559785261103
17,0.4997559785261103
18,0.4997559785261103
19,0.5
20,0.4997559785261103
21,0.4997559785261103
22,0.4997559785261103
23,0.4995119570522206
24,0.5
25,0.4997559785261103
26,0.4997559785261103
27,0.4997559785261103
28,0.4997559785261103
29,0.4997559785261103
30,0.4997559785261103
31,0.4997559785261103
32,0.4997559785261103
33,0.4997559785261103
34,0.4997559785261103
35,0.4997559785261103
36,0.4997559785261103
37,0.4997559785261103
38,0.4997559785261103
39,0.4997559785261103
40,0.4997559785261103
41,0.4997559785261103
42,0.4997559785261103
43,0.4997559785261103
44,0.4997559785261103
45,0.4997559785261103
46,0.4997559785261103
47,0.4995119570522206
48,0.4997559785261103
49,0.4997559785261103
