,"Age, BMI & VAT",Medications
number_of_central_apnea_hypopnea_events,0.2944591214789123,0.2944591214789126
ahi_central_during_nrem,0.2772376757021995,0.2772376757021997
ahi_during_left,0.4252763146709452,0.4252763146709454
odi_during_non_supine,0.4625331987333421,0.4625331987333423
snore_db_mean,0.35716882547428913,0.3571688254742892
percent_of_sleep_time,0.098826653804272,0.098826653804272
percent_of_supine_sleep,0.12589842377913718,0.12589842377913718
rdi,0.45397237223520315,0.45397237223520315
rdi_during_left,0.3057539062327099,0.3057539062327099
rdi_during_non_supine,0.35294773224750575,0.35294773224750575
rdi_during_nrem,0.38526920794005237,0.38526920794005237
rdi_during_prone,0.31476294011389205,0.31476294011389205
rem_latency,0.05870028475130365,0.05870028475130365
saturation_below_80,0.08646580171209076,0.08646580171209076
saturation_below_85,0.120291464922801,0.120291464922801
percent_of_rem_sleep_time,0.14413259658912914,0.14413259658912914
saturation_below_90,0.29013901793373986,0.29013901793373986
saturation_below_or_equal_88,0.2549995083872513,0.2549995083872513
saturation_max_value,0.21478579251101976,0.21478579251101976
saturation_mean,0.5892175562525211,0.5892175562525211
snore_above_60db,0.14731288290828795,0.14731288290828795
total_time_in_bed,0.07989908623002495,0.07989908623002495
total_valid_apnea_central_sleep_time,0.02370131873918915,0.02370131873918915
total_valid_apnea_sleep_time,0.0157361021743458,0.0157361021743458
total_wake_time,0.12421360582581276,0.12421360582581276
percent_of_right_sleep,0.09249561926143884,0.09249561926143884
percent_of_light_sleep_time,0.19746908434822807,0.19746908434822807
percent_of_non_supine_sleep,0.12589842377913724,0.12589842377913724
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5232827627052713,0.5232827627052713
ahi_during_prone,0.42167108549874976,0.42167108549874976
ahi_during_rem,0.597391903036077,0.597391903036077
ahi_during_right,0.4070448096735021,0.4070448096735021
ahi_during_supine,0.5649218773811833,0.5649218773811833
ahi_obstructive,0.5741060962329798,0.5741060962329798
ahi_obstructive_during_nrem,0.517151463650874,0.517151463650874
desaturations_mean_nadir,0.24725957684923836,0.24725957684923836
desaturations_of_10_20,0.19668702481096545,0.19668702481096545
desaturations_of_4_9,0.5434342362986118,0.5434342362986118
number_of_all_respiratory_events,0.42926210741629,0.42926210741629
ahi_central_during_rem,0.2650283573483193,0.2650283573483193
number_of_obstructive_apnea_hypopnea_events,0.5611754553247961,0.5611754553247961
number_of_transitions_nrem_to_wake,0.2219649215771854,0.2219649215771854
odi_during_nrem,0.45547810935859756,0.45547810935859756
odi_during_prone,0.3755525059302609,0.3755525059302609
odi_during_rem,0.5722758536541965,0.5722758536541965
odi_during_right,0.3866196548360044,0.3866196548360044
odi_during_supine,0.514217382578507,0.514217382578507
percent_of_deep_sleep_time,0.23205589282024652,0.23205589282024652
percent_of_left_sleep,0.11231979838509451,0.11231979838509451
total_wake_time_after_sleep_onset,0.124230421350325,0.124230421350325
