,"Age, BMI & VAT",Frailty
AHI,0.000855024887496106,0.0009740530909566878
ahi_4_percent,0.0013770929461128579,0.0015080827711849846
ahi_central,0.003461273752765383,0.003461273752765383
ahi_central_during_nrem,0.003762302773649851,0.003762302773649851
ahi_central_during_rem,0.005240599141571108,0.005240600313368658
ahi_during_left,0.0015558837149821623,0.0018270945809639699
ahi_during_non_supine,0.0010186970867846125,0.0012464038094122736
ahi_during_nrem,0.001054583445819825,0.001103494299681986
ahi_during_prone,0.0018654195633622883,0.002185448336367281
ahi_during_rem,0.0006296752283262501,0.0007931746037485914
ahi_during_right,0.0012455026670330762,0.0016053212807426865
ahi_during_supine,0.0008862044916141369,0.0011312030929782756
ahi_obstructive,0.0007504688914085142,0.0008029796771084235
ahi_obstructive_during_nrem,0.0012396187538141219,0.0014573122939112947
ahi_obstructive_during_rem,0.0007486143450946905,0.000842585281742336
desaturations_above_20,0.007992223177800515,0.007992223177800515
desaturations_mean_nadir,0.0032669107254024803,0.003297201564989781
desaturations_of_10_20,0.004175006872038096,0.0043012329738017895
desaturations_of_4_9,0.001176683555907685,0.0013463767116177225
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0012816262178760149,0.0014767964467364049
number_of_all_respiratory_events,0.0011865456384683116,0.0013752573195065004
number_of_apnea_hypopnea_events,0.0008156692751476308,0.0009876109446352844
number_of_central_apnea_hypopnea_events,0.002144783006824921,0.002581517942439034
number_of_desaturation_events,0.0013957283998066133,0.0015752883798230302
number_of_obstructive_apnea_hypopnea_events,0.0008042467954777703,0.0008979847277600664
number_of_transitions_nrem_to_rem,0.010558932224500207,0.010558932224500207
number_of_transitions_nrem_to_wake,0.0023617548695448183,0.0026769656037515395
number_of_transitions_rem_to_nrem,0.012628336436816111,0.012388195374780697
number_of_transitions_rem_to_wake,0.012356730548496524,0.012356730548496524
number_of_transitions_wake_to_nrem,0.0027894148049240723,0.002908568345927126
number_of_transitions_wake_to_rem,0.01489245239977671,0.014892452399776695
number_of_wakes,0.0030885489024997364,0.0036197302812473043
odi,0.0014976809397943423,0.0016531117788184718
odi_during_left,0.0030981977200310587,0.0032304175680962907
odi_during_non_supine,0.0018951095750630801,0.001993959596371919
odi_during_nrem,0.0014110250839718059,0.0015310193700792192
odi_during_prone,0.003358516701331614,0.0034472107278366013
odi_during_rem,0.000970303243104173,0.0010289967808064092
odi_during_right,0.002392955773461209,0.002424903480674615
odi_during_supine,0.000932267010666019,0.0010253662092474082
percent_of_deep_sleep_time,0.0017507388220480468,0.0023666954880195755
percent_of_left_sleep,0.0035533466347500813,0.005442837396382027
percent_of_light_sleep_time,0.00218838533546652,0.003508162016477299
percent_of_non_supine_sleep,0.0037408464997736404,0.005067349089381411
percent_of_prone_sleep,0.010722431738528476,0.010656794462968891
percent_of_rem_sleep_time,0.0033355485830334586,0.0045772501818341724
percent_of_right_sleep,0.004167181272093364,0.008654657834406136
percent_of_sleep_time,0.005664446242717809,0.005662759923743983
percent_of_supine_sleep,0.003740846499773635,0.00506734908938141
percent_of_wake_time,0.0056644462427177964,0.005662759923744023
rdi,0.00128103500931916,0.0014404828665185302
rdi_during_left,0.0020745344998952977,0.002576233180679499
rdi_during_non_supine,0.0013437803241867577,0.0016033067324562544
rdi_during_nrem,0.0015111209816218107,0.0017365959976075583
rdi_during_prone,0.0022941175832590774,0.002755843907947408
rdi_during_rem,0.0008363778118171559,0.001076979676802575
rdi_during_right,0.0019536209925773533,0.0026678671226055576
rdi_during_supine,0.0011604477961890387,0.0014924278419303548
rem_latency,0.006591282229737112,0.010639052589662867
saturation_below_80,0.017055830371106424,0.016957662615759
saturation_below_85,0.014152174786161716,0.014147769954752549
saturation_below_90,0.005311689634243725,0.005973867051032907
saturation_below_or_equal_88,0.007176742762721007,0.007671569550136583
saturation_max_value,0.008247781701185283,0.008247781701185283
saturation_mean,0.001055327994122528,0.0010552887540396195
saturation_min_value,0.0010522114877712337,0.0011878995281612546
sleep_efficiency,0.0057524367562018395,0.006100155782456978
sleep_latency,0.012238506868128477,0.012238506868128468
snore_above_40db,0.002889085184963169,0.003570437440360705
snore_above_45db,0.002066364151961811,0.0024091965343273855
snore_above_50db,0.003208977623082333,0.003932424919687129
snore_above_60db,0.008513498789398508,0.011208970501459076
snore_db_mean,0.0034060564518757024,0.00345658395571675
time_to_transition_nrem_to_rem,0.00789922647254473,0.006677295804846015
time_to_transition_nrem_to_wake,0.00336820828079424,0.004992517128986326
time_to_transition_rem_to_nrem,0.0036029370608776238,0.0034766262150319437
time_to_transition_rem_to_wake,0.005119252021565578,0.00786418527512456
time_to_transition_wake_to_nrem,0.014178683167449312,0.013225670874953238
time_to_transition_wake_to_rem,0.009620824310268424,0.016061194981910523
total_arousal_sleep_time,0.00820872680922051,0.008102931557204356
total_deep_sleep_time,0.002726804772059874,0.004666644562490818
total_left_sleep_time,0.0032448108411616355,0.005051675660129837
total_light_sleep_time,0.003726776598427454,0.004874193612372854
total_non_supine_sleep_time,0.003582534943576843,0.004513851410552296
total_prone_sleep_time,0.01251717934730666,0.010471212825488579
total_rem_sleep_time,0.003515607906995037,0.005054542870746986
total_right_sleep_time,0.003806845081051011,0.008455258253155242
total_sleep_time,0.008055755866418693,0.008135048724457791
total_supine_sleep_time,0.005121194868657183,0.005616720104322159
total_time_in_bed,0.004444879811722263,0.00654324473940237
total_valid_apnea_central_sleep_time,0.012449203272727123,0.01228178502102598
total_valid_apnea_sleep_time,0.010342158810419354,0.010798746138774632
total_wake_time,0.003401009246653274,0.004525945441995789
total_wake_time_after_sleep_onset,0.004113065259855591,0.0047579019764783185
variability_between_sleep_stage_percents,0.002072473918643991,0.0031733816475423148
