,"Age, BMI & VAT",Frailty
AHI,0.0009958289898853543,0.001079863736616108
ahi_4_percent,0.0013689296036855265,0.0013748749040176597
ahi_central,0.0037758217622609926,0.003728626287068968
ahi_central_during_nrem,0.0036195684019984012,0.0036530702984721997
ahi_central_during_rem,0.0036806403806560134,0.0037218063364750226
ahi_during_left,0.00151510198479272,0.001761850462339241
ahi_during_non_supine,0.001555762879102512,0.002076949885565908
ahi_during_nrem,0.0014029333083873526,0.0016317121541737493
ahi_during_prone,0.0019301218203325928,0.0028196163137853285
ahi_during_rem,0.0009978754813354232,0.0011975302284750382
ahi_during_right,0.0019935877383065585,0.002407402115342951
ahi_during_supine,0.0010833831726824003,0.0013377231548470131
ahi_obstructive,0.0010536161659958838,0.0012399251508847502
ahi_obstructive_during_nrem,0.0010101544031159734,0.0011228594815672808
ahi_obstructive_during_rem,0.0007931224848350889,0.0010255931950834737
desaturations_above_20,0.013220661694778226,0.013220578683382531
desaturations_mean_nadir,0.0021239877319412215,0.0021680248260090005
desaturations_of_10_20,0.004758646673227207,0.0049166422940031375
desaturations_of_4_9,0.0014608495352711219,0.001563273435562967
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0015178064280944677,0.0015862068449850376
number_of_all_respiratory_events,0.0015372215958852553,0.0016919984875839798
number_of_apnea_hypopnea_events,0.0011580124446375452,0.0011697278118702674
number_of_central_apnea_hypopnea_events,0.003244955243613802,0.003527901505358097
number_of_desaturation_events,0.0017139370686632136,0.0018183553334411655
number_of_obstructive_apnea_hypopnea_events,0.0012612320815881563,0.001326386026492492
number_of_transitions_nrem_to_rem,0.01907387761880949,0.018115760064126667
number_of_transitions_nrem_to_wake,0.004189991648210131,0.00464964088757198
number_of_transitions_rem_to_nrem,0.01802047440227069,0.018020474402270725
number_of_transitions_rem_to_wake,0.012539438927874869,0.012539438927874897
number_of_transitions_wake_to_nrem,0.003737871188904438,0.004435509120734819
number_of_transitions_wake_to_rem,0.012082264126945207,0.012082264126945201
number_of_wakes,0.004598342936732908,0.005422330671588445
odi,0.0015616289201032876,0.0015905293854102406
odi_during_left,0.0022224384500261194,0.0021752383326032842
odi_during_non_supine,0.001804266530626717,0.0020769272981566167
odi_during_nrem,0.0020312732739612926,0.002149040689461547
odi_during_prone,0.002505120112676131,0.00246268337308426
odi_during_rem,0.0012878291400782863,0.0014400687383909995
odi_during_right,0.003002244584139646,0.0032137737091770626
odi_during_supine,0.0013469536076766925,0.0015988926064790996
percent_of_deep_sleep_time,0.0019603534744067974,0.002048083575854845
percent_of_left_sleep,0.006075588038968512,0.006123040602050939
percent_of_light_sleep_time,0.0023778686213659656,0.002931895627502792
percent_of_non_supine_sleep,0.0045566576518275516,0.005720473271761278
percent_of_prone_sleep,0.012235061294835895,0.012235061294835894
percent_of_rem_sleep_time,0.0036425448217928757,0.004164023588754265
percent_of_right_sleep,0.0043196808130109635,0.006095559328409042
percent_of_sleep_time,0.006165408061828803,0.007846778464733835
percent_of_supine_sleep,0.004556657651827552,0.005720473271761273
percent_of_wake_time,0.006165408061828958,0.00784677846473402
rdi,0.0012321401342247562,0.0012493985856951728
rdi_during_left,0.0016608316301530521,0.0019424859352103556
rdi_during_non_supine,0.0018877630248515704,0.0030211880169273265
rdi_during_nrem,0.0016607409115694074,0.002018443669242741
rdi_during_prone,0.002812253914442056,0.003836104402826192
rdi_during_rem,0.0010205027194049275,0.0014012278318509322
rdi_during_right,0.0025922408535648694,0.002629342971242186
rdi_during_supine,0.0012518444528728204,0.00170306229852732
rem_latency,0.006619149394683407,0.0074138757478654504
saturation_below_80,0.006819433485734766,0.006845302411201243
saturation_below_85,0.004656151680308085,0.004986669041079169
saturation_below_90,0.004461804365193228,0.0047019031984278275
saturation_below_or_equal_88,0.004333248189190074,0.004953332134971432
saturation_max_value,0.026568333126661917,0.026568333126661917
saturation_mean,0.0014737201571228382,0.0014726490476597378
saturation_min_value,0.0017896682289625227,0.0018410769949411565
sleep_efficiency,0.007574327026355981,0.008612638733304992
sleep_latency,0.012280955032832596,0.011254187968319685
snore_above_40db,0.0030551071195064772,0.0039085634130115255
snore_above_45db,0.002389664048412992,0.0024560797916764908
