,"Age, BMI & VAT",Mental health
AHI,0.5398873523487927,0.5074837614446961
ahi_4_percent,0.506428407307414,0.4852822427094313
ahi_central,0.23337585076124315,0.24159172358223804
ahi_central_during_nrem,0.22060181783585225,0.21723011328140607
ahi_central_during_rem,0.23403791072080748,0.19831911083669096
ahi_during_left,0.3775187274648968,0.3204167117860004
ahi_during_non_supine,0.42983694129467204,0.40125945612219327
ahi_during_nrem,0.4821146807676499,0.44556801642493504
ahi_during_prone,0.3617551098654112,0.3224000688251645
ahi_during_rem,0.5607348504819497,0.5287224423812728
ahi_during_right,0.35124742405551423,0.3015288225890159
ahi_during_supine,0.5394749510411356,0.5048974983194144
ahi_obstructive,0.5388824796598524,0.5148699967862238
ahi_obstructive_during_nrem,0.48351585220263693,0.4572473079508696
ahi_obstructive_during_rem,0.5525021986762492,0.5187129713884618
desaturations_above_20,0.030815049742232148,0.01031732900170695
desaturations_mean_nadir,0.19033450546061953,0.1616374483460282
desaturations_of_10_20,0.2595300058729255,0.2334575829609165
desaturations_of_4_9,0.5226637103044695,0.5055211381646221
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5007110924250429,0.4851763667091572
number_of_all_respiratory_events,0.38640427131531163,0.35700421150324435
number_of_apnea_hypopnea_events,0.5243920798776355,0.49488395944050473
number_of_central_apnea_hypopnea_events,0.2328918507188658,0.25051033435198633
number_of_desaturation_events,0.5149616764967659,0.4969007458522633
number_of_obstructive_apnea_hypopnea_events,0.5230505338261497,0.4946427496042003
number_of_transitions_nrem_to_rem,0.052994393850916546,0.07451192493455205
number_of_transitions_nrem_to_wake,0.2046191283598205,0.15108384776253506
number_of_transitions_rem_to_nrem,0.0436038406333223,0.023547956189198152
number_of_transitions_rem_to_wake,0.045312306298719546,0.029957937014851853
number_of_transitions_wake_to_nrem,0.17797768762099786,0.1262887771685238
number_of_transitions_wake_to_rem,0.018586169226227002,0.031013507268136703
number_of_wakes,0.17371305227990025,0.1153638184616991
odi,0.5132712523550974,0.491075228738894
odi_during_left,0.3828354798183911,0.3527317789159537
odi_during_non_supine,0.40643040431332966,0.39579226438122894
odi_during_nrem,0.4323345846732032,0.40641191833444756
odi_during_prone,0.2993946103562638,0.3054690565315142
odi_during_rem,0.5426791487622691,0.5204397485524856
odi_during_right,0.3219340079106652,0.2806685308939256
odi_during_supine,0.483167466063804,0.4515353837415282
percent_of_deep_sleep_time,0.16109352747938474,0.15867384660469291
percent_of_left_sleep,0.058428071156632,0.0434683353527356
percent_of_light_sleep_time,0.12400779767186315,0.1170493003791982
percent_of_non_supine_sleep,0.0815725390465794,0.08734149965493315
percent_of_prone_sleep,0.02596105544526135,0.02719730644133015
percent_of_rem_sleep_time,0.0583455100989404,0.0784287505711196
percent_of_right_sleep,0.0442261600919201,0.08376312977285685
percent_of_sleep_time,0.08201062126156515,0.05030848281610455
percent_of_supine_sleep,0.08157253851171725,0.08734149994351825
percent_of_wake_time,0.08201061783287085,0.05030847737485565
rdi,0.41224253538764866,0.38506253493478826
rdi_during_left,0.2490539950642259,0.22514269692638383
rdi_during_non_supine,0.2964131405715382,0.2666866443646968
rdi_during_nrem,0.34516682198850046,0.3154094083181666
rdi_during_prone,0.25904501371996325,0.23059926351469912
rdi_during_rem,0.4582188641117325,0.4259647910188213
rdi_during_right,0.23661830074424367,0.18849491803969354
rdi_during_supine,0.41922620440845937,0.38720960744257216
rem_latency,0.0077158020315654,0.0751072784050863
saturation_below_80,0.0891763291561001,0.0717633516363338
saturation_below_85,0.1734116234496973,0.18251389750114322
saturation_below_90,0.29112367854656107,0.3127168486139381
saturation_below_or_equal_88,0.26770198646737153,0.2900942882334687
saturation_max_value,0.19918426436269043,0.18127909309475043
saturation_mean,0.5688433526854667,0.551676757628747
saturation_min_value,0.36493100623362074,0.3154949210710143
sleep_efficiency,0.062335148036812796,0.027121593715072702
sleep_latency,0.031826074755741854,0.0403837916916033
snore_above_40db,0.1607597369844234,0.1221512008981499
snore_above_45db,0.3670914231576887,0.3341183496903076
snore_above_50db,0.29483445298145494,0.25867552883596895
snore_above_60db,0.09285247224568555,0.085778402826599
snore_db_mean,0.3383832088773543,0.30149202418776505
time_to_transition_nrem_to_rem,0.05523887195875695,0.01883500369565365
time_to_transition_nrem_to_wake,0.05830343787785695,0.08197006895332345
time_to_transition_rem_to_nrem,0.0657255727901885,0.0790713315551756
time_to_transition_rem_to_wake,0.019069849615107298,0.0041940410943702
time_to_transition_wake_to_nrem,-0.00636820914867335,-0.01346227836459595
time_to_transition_wake_to_rem,-0.009631870495986,-0.008248816084247
total_arousal_sleep_time,0.04329261982033955,0.00881143166169115
total_deep_sleep_time,0.08845125843435254,0.06400295686066805
total_left_sleep_time,0.044734514704078646,0.03443018959904795
total_light_sleep_time,0.12944541427315714,0.12670938578201335
total_non_supine_sleep_time,0.0930028935846069,0.0853389348731117
total_prone_sleep_time,0.0359953068176178,0.0134885767194296
total_rem_sleep_time,0.01445570575834505,0.01043405103796
total_right_sleep_time,0.05733522121787875,0.0779294881135931
total_sleep_time,0.04542095989217265,0.010395134847481051
total_supine_sleep_time,0.07721748735753925,0.0814061580642691
total_time_in_bed,0.0707256491368232,0.028415398638284302
total_valid_apnea_central_sleep_time,0.0550093452248026,0.0247248252063493
total_valid_apnea_sleep_time,0.06864439733930194,0.0108780624797578
total_wake_time,0.09519435976796795,0.052912356946926545
total_wake_time_after_sleep_onset,0.09402236366140505,0.06372669132809794
variability_between_sleep_stage_percents,0.12848711467769341,0.12218121105641469
