,Age & BMI,"HRV
(average of nights)"
liver_viscosity,0.012174876673501747,0.01217487667350175
liver_elasticity,0.013682017639874134,0.012025912086993489
liver_attenuation,0.013159822866136102,0.013159822866136107
liver_sound_speed,0.0009621273718068882,0.0013116438305193399
bt__albumin,0.022334768176869496,0.022334768176869496
bt__bilirubin_total,0.023056223576975034,0.023056223576975034
bt__protein_total,0.019214237163662995,0.019214237163662995
bt__alkaline_phosphatase,0.007986258468096275,0.015286701370882033
bt__alt_gpt,0.002620874920827749,0.004523191552728019
bt__platelets,0.004418213154796259,0.006088410491840936
bt__ast_got,0.019434894591288485,0.016698991057951917
