,"Age, BMI & VAT",Renal function
total_deep_sleep_time,0.17722906993827095,0.18209023973405164
snore_above_40db,0.1884600539600053,0.19301550255068972
total_rem_sleep_time,0.10873639836258614,0.1129534918666552
time_to_transition_nrem_to_rem,0.04227667801992825,0.04635019766868425
snore_above_50db,0.33648320312366015,0.3394683410718376
snore_above_45db,0.3790510157389967,0.3807809024675384
number_of_central_apnea_hypopnea_events,0.3007129882743497,0.30229420849532734
ahi_obstructive_during_rem,0.5821177163152311,0.5835275173810592
number_of_transitions_nrem_to_wake,0.21677602756180248,0.21813073482149495
ahi_during_rem,0.590336978748595,0.5914579427715616
ahi_during_supine,0.5582987257412937,0.5588269504437742
odi_during_rem,0.5679284548293425,0.5681152030328965
