,Age & BMI,Frailty
total_time_in_bed,0.00489638500081035,0.0763888359639708
total_non_supine_sleep_time,0.0373989824464447,0.08893682222703836
percent_of_non_supine_sleep,0.032864427854877296,0.07181819949698129
percent_of_supine_sleep,0.032864428240076404,0.0718181989222935
total_valid_apnea_sleep_time,0.00914663840101985,0.0470578054148028
total_left_sleep_time,0.0221195214060377,0.0582831775643058
total_valid_apnea_central_sleep_time,0.0099121128077417,0.04322856057960895
percent_of_left_sleep,0.022711137531576997,0.0474414364021372
total_supine_sleep_time,0.028441416749267548,0.0516864163363468
time_to_transition_nrem_to_rem,0.021582173313830902,0.0371899984394352
number_of_transitions_wake_to_rem,0.03855439615059465,0.0535753069741295
time_to_transition_rem_to_wake,0.034636409109830554,0.04882324257582505
total_right_sleep_time,0.06024145164308865,0.0733369293292386
