,"Age, BMI & VAT",Frailty
AHI,0.4889996806636129,0.469574700061635
ahi_4_percent,0.47906114690343965,0.45737815587635433
ahi_central,0.17167259617981895,0.13790101527522358
ahi_central_during_nrem,0.13958219113962167,0.1129501782882801
ahi_central_during_rem,0.16368312804388296,0.1299036841126729
ahi_during_left,0.35560216864543137,0.3302771992653145
ahi_during_non_supine,0.4217115609651735,0.4008810037043903
ahi_during_nrem,0.4497321207212694,0.427728528591654
ahi_during_prone,0.3469208445484489,0.31653268307481713
ahi_during_rem,0.4888624986151805,0.469319067507044
ahi_during_right,0.3385450751000231,0.3120081170013077
ahi_during_supine,0.4893783855550228,0.4688854569693815
ahi_obstructive,0.49758457512452614,0.4796077532034828
ahi_obstructive_during_nrem,0.46010378392453166,0.43829571075241364
ahi_obstructive_during_rem,0.4884306998354798,0.4726795856557984
desaturations_above_20,0.127349087540643,0.12049649436062915
desaturations_mean_nadir,0.32899132425790595,0.3045485556039734
desaturations_of_10_20,0.2597610675442009,0.23955553051676776
desaturations_of_4_9,0.4747806560528426,0.45559432342777934
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4595403840105874,0.4402303564208323
number_of_all_respiratory_events,0.35691447609453353,0.3429671364599899
number_of_apnea_hypopnea_events,0.4635621938960523,0.44756826108202297
number_of_central_apnea_hypopnea_events,0.17905601507141894,0.1434354311855836
number_of_desaturation_events,0.46474766045407223,0.4489086808681214
number_of_obstructive_apnea_hypopnea_events,0.4714533211063801,0.45442779104404807
number_of_transitions_nrem_to_rem,0.0194563796304994,0.01432119260864465
number_of_transitions_nrem_to_wake,0.10759701430973365,0.0820159522070108
number_of_transitions_rem_to_nrem,0.03401053923797365,0.0227720843112946
number_of_transitions_rem_to_wake,0.0059358981473901,0.0160314351909068
number_of_transitions_wake_to_nrem,0.11737625631818036,0.09800906662743394
number_of_transitions_wake_to_rem,0.05633635401646665,0.0754268594265237
number_of_wakes,0.1003911664379695,0.08959054250122944
odi,0.48327829916709214,0.46288610336762925
odi_during_left,0.4129186843880135,0.3907750542586141
odi_during_non_supine,0.45549732323532177,0.4372639898780422
odi_during_nrem,0.4301119824716847,0.4088423609256898
odi_during_prone,0.3737260087026387,0.3529956009950159
odi_during_rem,0.5000364991063937,0.476736945469186
odi_during_right,0.38398005760744147,0.35758495375439664
odi_during_supine,0.47334354243199317,0.44702745534785865
percent_of_deep_sleep_time,0.18091611905294014,0.15391400421845494
percent_of_left_sleep,0.0382895747765418,0.048429645466482346
percent_of_light_sleep_time,0.15421523230646525,0.12963172189758543
percent_of_non_supine_sleep,0.09632936515617024,0.08086882132800335
percent_of_prone_sleep,0.01624384061607715,-0.0122936774394066
percent_of_rem_sleep_time,0.09739843745688509,0.06790824939068785
percent_of_right_sleep,0.08306660315066075,0.0645918786441624
percent_of_sleep_time,0.0619761224105001,0.02578242415652035
percent_of_supine_sleep,0.0963293654821107,0.08086882091819389
percent_of_wake_time,0.06188079313793195,0.025782431003192947
rdi,0.39798438331883157,0.37893581610882376
rdi_during_left,0.2513659211212746,0.2300591672044888
rdi_during_non_supine,0.31038710632179495,0.28114797645989886
rdi_during_nrem,0.3533365530125234,0.33008922499341337
rdi_during_prone,0.215856117074763,0.19970135757579816
rdi_during_rem,0.40756150819399894,0.3855385853867639
rdi_during_right,0.22966070795012788,0.18373371783414025
rdi_during_supine,0.4120222123035403,0.39192716897528623
rem_latency,0.06585050396191575,0.04020177763462095
saturation_below_80,0.1407903930958504,0.11579685696680869
saturation_below_85,0.20999423113988558,0.19119769727582087
saturation_below_90,0.34502131249091367,0.31066666070463467
saturation_below_or_equal_88,0.3232920436644844,0.2945583185712317
saturation_max_value,0.0852022670766488,0.0751669780869777
saturation_mean,0.4518267869365098,0.42243388034797735
saturation_min_value,0.3676029556440722,0.34421842099279065
sleep_efficiency,0.04301093382738375,0.0166115168558817
sleep_latency,0.04080556246485745,0.03739971450578215
snore_above_40db,0.1101603620983955,0.0812603158447383
snore_above_45db,0.30898037992759686,0.28919560981457937
snore_above_50db,0.23396663515781452,0.20804442089265351
snore_above_60db,0.13579201897196186,0.09977497672756286
snore_db_mean,0.27110576863915903,0.2537325872189916
time_to_transition_nrem_to_rem,0.01438307618562805,0.0378258275735577
time_to_transition_nrem_to_wake,0.0486656125528082,0.02304291442296895
time_to_transition_rem_to_nrem,0.08759473628775144,0.0836469865254908
time_to_transition_rem_to_wake,0.05259254114927465,0.057795391755870104
time_to_transition_wake_to_nrem,0.1487313370580191,0.1151464877082532
time_to_transition_wake_to_rem,0.0455357880935673,0.02840961002727655
total_arousal_sleep_time,-0.03548165580425735,0.0250653364320013
total_deep_sleep_time,0.14459812830848,0.1355740536257336
total_left_sleep_time,0.05003448865280985,0.0601681695324916
total_light_sleep_time,0.08451576090101229,0.0928352757526503
total_non_supine_sleep_time,0.09439762472676515,0.09682909170796275
total_prone_sleep_time,0.0111768969775142,-0.0108430430315705
total_rem_sleep_time,0.04614905072362115,0.0407309425573566
total_right_sleep_time,0.08881088040602575,0.0787442891313314
total_sleep_time,-0.03571102624850865,0.0262551059442685
total_supine_sleep_time,0.08119076294585581,0.06304742960933796
total_time_in_bed,-0.02687241975200435,0.0616372499829564
total_valid_apnea_central_sleep_time,-0.01204007907888665,0.02786358967019105
total_valid_apnea_sleep_time,-0.0178430704225244,0.03556260608185135
total_wake_time,0.04847766727581635,0.04491507381587595
total_wake_time_after_sleep_onset,0.07416496980372694,0.05826874448229475
variability_between_sleep_stage_percents,0.1606549517200172,0.13597630727358967
