,"Age, BMI & VAT","Sleep Quality
(average of nights)"
body_arm_left_area,False,True
body_arm_left_bmc,False,False
body_arm_left_bmd,True,True
body_arm_right_area,False,True
body_arm_right_bmc,False,True
body_arm_right_bmd,True,True
body_arms_area,False,True
body_arms_bmc,False,False
body_arms_bmd,True,True
body_head_area,False,True
body_head_bmc,False,True
body_head_bmd,True,True
body_leg_left_area,False,False
body_leg_left_bmc,False,False
body_leg_left_bmd,True,True
body_leg_right_area,False,False
body_leg_right_bmc,False,False
body_leg_right_bmd,True,True
body_legs_area,False,False
body_legs_bmc,False,False
body_legs_bmd,True,True
body_pelvis_area,False,False
body_pelvis_bmc,False,True
body_pelvis_bmd,True,True
body_ribs_area,False,True
body_ribs_bmc,False,True
body_ribs_bmd,True,True
body_spine_area,False,True
body_spine_bmc,False,False
body_spine_bmd,True,True
body_total_area,False,False
body_total_bmc,False,False
body_total_bmd,True,True
body_total_left_area,False,False
body_total_left_bmc,False,True
body_total_left_bmd,True,True
body_total_right_area,False,False
body_total_right_bmc,False,True
body_total_right_bmd,True,True
body_trunk_area,False,True
body_trunk_bmc,False,True
body_trunk_bmd,True,True
body_trunk_left_area,False,True
body_trunk_left_bmc,False,True
body_trunk_left_bmd,True,True
body_trunk_right_area,False,True
body_trunk_right_bmc,False,True
body_trunk_right_bmd,True,True
femur_left_lower_neck_area,True,True
femur_left_lower_neck_bmc,False,False
femur_left_lower_neck_bmd,True,True
femur_left_neck_area,True,True
femur_left_neck_bmc,False,False
femur_left_neck_bmd,True,True
femur_left_shaft_area,True,True
femur_left_shaft_bmc,False,True
femur_left_shaft_bmd,True,True
femur_left_total_area,False,False
femur_left_total_bmc,False,True
femur_left_total_bmd,True,True
femur_left_troch_area,False,False
femur_left_troch_bmc,False,True
femur_left_troch_bmd,True,True
femur_left_upper_neck_area,True,True
femur_left_upper_neck_bmc,True,True
femur_left_upper_neck_bmd,True,True
femur_left_wards_area,True,True
femur_left_wards_bmc,False,True
femur_left_wards_bmd,True,True
femur_lower_neck_diff_area,True,True
femur_lower_neck_diff_bmc,True,True
femur_lower_neck_diff_bmd,True,True
femur_lower_neck_mean_area,True,True
femur_lower_neck_mean_bmc,False,True
femur_lower_neck_mean_bmd,True,True
femur_neck_diff_area,True,True
femur_neck_diff_bmc,True,True
femur_neck_diff_bmd,True,True
femur_neck_mean_area,True,True
femur_neck_mean_bmc,False,True
femur_neck_mean_bmd,True,True
femur_right_lower_neck_area,True,True
femur_right_lower_neck_bmc,False,True
femur_right_lower_neck_bmd,True,True
femur_right_neck_area,True,True
femur_right_neck_bmc,False,True
femur_right_neck_bmd,True,True
femur_right_shaft_area,False,True
femur_right_shaft_bmc,False,True
femur_right_shaft_bmd,True,True
femur_right_total_area,False,False
femur_right_total_bmc,False,True
femur_right_total_bmd,True,True
femur_right_troch_area,False,False
femur_right_troch_bmc,False,False
femur_right_troch_bmd,True,True
