,clinical_OSA
0,0.5153184061634766
1,0.5153184061634766
2,0.5030195417519361
3,0.5086473255487339
4,0.5299646884153926
5,0.5030195417519361
6,0.5032803659564223
7,0.5091689739577063
8,0.5161008787769351
9,0.515840054572449
10,0.5109947433891096
11,0.5150575819589904
12,0.5035411901609085
13,0.510212270775651
14,0.5225111351871916
15,0.5094297981621925
16,0.5081256771397615
17,0.5206853657557883
18,0.5163617029814213
19,0.5134926367320735
20,0.5219894867782192
21,0.5096906223666786
22,0.5150575819589904
23,0.5155792303679628
24,0.5083865013442478
25,0.515840054572449
26,0.5017154207295053
27,0.5024978933429638
28,0.5212070141647607
29,0.5163617029814213
30,0.5096906223666786
31,0.5086473255487339
32,0.5155792303679628
33,0.5096906223666786
34,0.5099514465711649
35,0.5155792303679628
36,0.5201637173468159
37,0.5227719593916776
38,0.5161008787769351
39,0.5222503109827054
40,0.5225111351871916
41,0.5022370691384775
42,0.514275109345532
43,0.5099514465711649
44,0.5217286625737331
45,0.5019762449339914
46,0.5086473255487339
47,0.5089081497532201
48,0.5163617029814213
49,0.5153184061634766
