,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,0.09314430221822269
1,0.0783868566510102
2,0.07804471175397779
3,0.07953825778001704
4,0.09560430659776886
5,0.09222012860290399
6,0.07452454610938933
7,0.0813550296916429
8,0.09182531863515511
9,0.08196545079371792
10,0.08513578151794253
11,0.08446967144053374
12,0.08343620372050121
13,0.09426024986299741
14,0.07840808171693384
15,0.0815590276785971
16,0.08472795935625521
17,0.08033606444162078
18,0.08511133817807517
19,0.08598772032783439
20,0.08706644332906488
21,0.09594357702748205
22,0.09828017305743163
23,0.09251667276902473
24,0.0976696610580564
25,0.06251761854968572
26,0.09226196328186537
27,0.07945581604284799
28,0.07427294084900386
29,0.09355601438920289
30,0.09277966383493122
31,0.09741578549649033
32,0.06906463104827082
33,0.09658665254611344
34,0.06862982152411118
35,0.0833227839784168
36,0.0764127436079539
37,0.08506453090396478
38,0.0942971414417304
39,0.08939697764232366
40,0.09770950557252173
41,0.07054422089386227
42,0.08270087635081903
43,0.07938164917948708
44,0.09939866502351498
45,0.09379093836225148
46,0.08240396017510905
47,0.09291832023577981
48,0.07476240670151499
49,0.09096983142684995
