,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,0.1079825651946804
1,0.09194319551806863
2,0.10137469739573073
3,0.1021286272784511
4,0.10035451851913998
5,0.10192666321439647
6,0.11705999423978257
7,0.0919802599043688
8,0.1026425435404702
9,0.11711126102936753
10,0.1054360305553199
11,0.09988609002774322
12,0.11315032530416368
13,0.0976552685339367
14,0.10456433646547134
15,0.11403316925635264
16,0.11233580027370522
17,0.10868057341180962
18,0.08331537246619147
19,0.1083744523693658
20,0.10624469138628925
21,0.11186267942972132
22,0.10782053456332491
23,0.13145805535632976
24,0.12007698266917578
25,0.10104071928553703
26,0.10638983287480043
27,0.11705532014619302
28,0.11368693454919543
29,0.09302902871983881
30,0.11824804162221271
31,0.11754654335459933
32,0.11926921827244982
33,0.10023640706934091
34,0.11623538969463137
35,0.12071429967860399
36,0.09997942109518158
37,0.11117496153497718
38,0.10149706474927171
39,0.10746283811151049
40,0.11766910052779335
41,0.1159563448398029
42,0.10381517517896477
43,0.11549606454059543
44,0.1152634328805391
45,0.09946092398229081
46,0.12247166047385633
47,0.11586913165872482
48,0.11016697463380622
49,0.11213514203475708
