,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,-0.046735874785722525
1,-0.04399021213416576
2,-0.026755261429867103
3,-0.05166563415377774
4,-0.04972602245359881
5,-0.03127391786759011
6,-0.04998898580204085
7,-0.02363293590342896
8,-0.048928653483141404
9,-0.026009842857835315
10,-0.03755943176343849
11,-0.04631317202800385
12,-0.023632935903428614
13,-0.05901017640032618
14,-0.014752544100081548
15,-0.025242421373514408
16,-0.013353107081634806
17,-0.0348432270453843
18,-0.028418636276102714
19,-0.02498137587419167
20,-0.025756576427368682
21,-0.03388948199344679
22,-0.02550079475287881
23,-0.02160418445122804
24,-0.025756576427368727
25,-0.023353906807751883
26,-0.048525055826676815
27,-0.037208729109330936
28,-0.02067386507432631
29,-0.0262606668178801
30,-0.02818702168663808
31,-0.04153754475077089
32,-0.021298593605500748
33,-0.01643412128306531
34,-0.02335390680775189
35,-0.017590123110363155
36,-0.03189655196851254
37,-0.03992819381863108
38,-0.037733560799675464
39,-0.028187021686637993
40,-0.014752544100081496
41,-0.04106136304643423
42,-0.030423924037952924
43,-0.013835323088530494
44,-0.024181336850480545
45,-0.04892865348314172
46,-0.05788863408730134
47,-0.03992819381863114
48,-0.02864837838384281
49,-0.047981645012029644
