,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,0.0890569738194807
1,0.07487578871016118
2,0.060581195858888715
3,0.08712441267974401
4,0.07994187740211779
5,0.08084155926197531
6,0.08415641714930842
7,0.06798480536133607
8,0.07882047026119408
9,0.0719989450547486
10,0.05920453616252623
11,0.07783128554907137
12,0.08177026914402455
13,0.07797003125949452
14,0.06810213598185011
15,0.07084604105519765
16,0.09092028436042655
17,0.0666441000163389
18,0.06188896955654149
19,0.07997055615850845
20,0.059552657186365085
21,0.08462104971275612
22,0.09077814706567072
23,0.09512949734089977
24,0.07834582251216783
25,0.05117742071958652
26,0.08083480033135095
27,0.071153145539852
28,0.07419422611579116
29,0.07726295968977027
30,0.09624205738957031
31,0.08274504870761001
32,0.068365759961019
33,0.07937591746909597
34,0.07890961229398238
35,0.07979311981748777
36,0.0751211991781246
37,0.08076556038449442
38,0.08491830346807855
39,0.07492102294246389
40,0.08046648035425574
41,0.08615090475002682
42,0.08084199959346378
43,0.08576412689285723
44,0.11294294248927352
45,0.09610257749143031
46,0.05945168208022367
47,0.07144616475522501
48,0.06167772149632447
49,0.0703520920715275
