,Age & BMI,"HRV
(average of nights)"
Almonds,False,True
Apple,False,False
Apricot,False,True
Artichoke,True,True
Arugula,False,True
Avocado,False,False
Bagel,True,True
Baguette,False,True
Bamba,False,True
Banana,False,True
Beans,False,True
Beef,False,True
Beer,False,True
Beet,True,True
Biscuit,True,True
Bissli,False,True
Blueberries,True,True
Bolognese,False,False
Bread,True,True
Broccoli,False,False
Brownies,False,True
Bulgur,True,True
Burekas,True,True
Butter,False,True
Candies,True,True
Cappuccino,True,True
Carrots,True,True
Cashew,False,True
Cauliflower,True,True
Celery,False,False
Cereals,False,False
Ceviche,False,True
Challah,True,True
Cheesecake,False,True
Cherries,True,True
Chestnuts,False,False
Chicken,False,True
Chocolate,False,False
Ciabatta,False,True
Cinnamon,True,True
Coconut,False,True
Coffee,False,True
Coleslaw,False,False
Cookies,True,True
Coriander,True,True
Corn,False,True
Couscous,False,True
Cracker,False,True
Cranberries,True,True
Croissant,True,True
Croutons,False,False
Cuba,False,True
Cucumber,True,True
Danish,False,False
Dates,True,True
Edamame,False,True
Egg,True,True
Eggplant,False,True
Entrecote,False,True
Falafel,False,True
Fennel,False,True
Fig,False,False
Garlic,False,True
Granola,False,True
Grapes,True,True
Guacamole,True,True
Halva,False,True
Hamburger,False,True
Hazelnuts,True,True
Honey,False,True
Hummus,False,True
Jachnun,False,False
Jam,False,True
Kebab,False,True
Ketchup,False,True
Kiwi,False,False
Knafeh,False,True
Kohlrabi,False,True
Lasagna,True,True
Lemon,True,True
Lemonade,False,True
Lentils,False,True
Lettuce,False,True
Majadra,False,True
Mandarin,False,False
Mango,True,True
Matbucha,False,True
Mayonnaise,False,True
Meatballs,False,True
Melon,False,True
Milk,False,True
Mushrooms,True,True
Mustard,True,True
Nectarine,False,True
Noodles,False,False
Oatmeal,False,True
Olives,False,True
Omelette,False,True
Onion,False,True
Orange,False,False
Pancake,False,True
Parsley,True,True
Pasta,False,True
Pastrami,False,True
Peach,False,False
Peanuts,True,True
Pear,False,True
Peas,False,True
Pecan,False,True
Pepper,False,True
Persimmon,False,False
Pesto,False,True
Pineapple,True,True
Pistachio,True,True
Pita,False,True
Pizza,False,True
Plum,False,False
Pomegranate,False,True
Pomelo,False,True
Popcorn,False,False
Popsicle,True,True
Potatoes,False,True
Pretzels,True,True
Prune,False,True
Pullet,True,True
Pumpkin,True,True
Quinoa,False,True
Raisins,True,True
Ravioli,False,True
Rice,False,True
Roll,False,True
Rugelach,False,True
Salmon,False,False
Salt,False,True
Sauerkraut,True,True
Sausages,False,False
Schnitzel,False,True
Schug,False,False
Shakshouka,False,True
Shrimp,True,True
Smoothies,True,True
Soymilk,True,True
Spelled,True,True
Spinach,False,False
Sprouts,True,True
Steak,False,True
Strawberry,True,True
Sugar,False,True
Sushi,False,True
Tahini,False,True
Tea,False,True
Tilapia,True,True
Tofu,False,False
Tomatoes,False,True
Tortilla,False,True
Wafers,False,True
Walnuts,False,True
Water,False,True
Watermelon,False,False
Whiskey,False,True
Wine,False,True
Yogurt,True,True
Zucchini,True,True
ginger,False,True
