,clinical_OSA
0,0.5
1,0.49972390944229705
2,0.49972390944229705
3,0.49972390944229705
4,0.49972390944229705
5,0.49972390944229705
6,0.49972390944229705
7,0.49972390944229705
8,0.5063028568107181
9,0.49972390944229705
10,0.49972390944229705
11,0.49972390944229705
12,0.49972390944229705
13,0.49972390944229705
14,0.49972390944229705
15,0.49972390944229705
16,0.49972390944229705
17,0.49972390944229705
18,0.49972390944229705
19,0.49972390944229705
20,0.49972390944229705
21,0.49972390944229705
22,0.49972390944229705
23,0.49972390944229705
24,0.49972390944229705
25,0.49972390944229705
26,0.49972390944229705
27,0.5
28,0.49972390944229705
29,0.49972390944229705
30,0.49972390944229705
31,0.49972390944229705
32,0.49972390944229705
33,0.49972390944229705
34,0.49972390944229705
35,0.49972390944229705
36,0.49972390944229705
37,0.49972390944229705
38,0.49972390944229705
39,0.49972390944229705
40,0.49972390944229705
41,0.49972390944229705
42,0.49972390944229705
43,0.49972390944229705
44,0.49972390944229705
45,0.49972390944229705
46,0.49972390944229705
47,0.49972390944229705
48,0.49972390944229705
49,0.49972390944229705
