,Age & BMI,Cardiovascular system
AHI,0.5447388563719275,0.5381478729598261
ahi_4_percent,0.4985320777112099,0.4882794318294117
ahi_central,0.23539169423305956,0.2055094255139288
ahi_central_during_nrem,0.2259034071212695,0.197263771669678
ahi_central_during_rem,0.20961797198167945,0.18249730577032236
ahi_during_left,0.4001898392637998,0.3713917582290135
ahi_during_non_supine,0.4525469968746614,0.45530025192633855
ahi_during_nrem,0.4793874646278372,0.4716911465956011
ahi_during_prone,0.36935335268009706,0.34508109523850855
ahi_during_rem,0.580310267491521,0.5754197998633562
ahi_during_right,0.38454269799643415,0.35483513788739796
ahi_during_supine,0.5459199602304863,0.5228699120978446
ahi_obstructive,0.5520978153694192,0.545939173505674
ahi_obstructive_during_nrem,0.490858568100662,0.48353152154375606
ahi_obstructive_during_rem,0.5766108500757212,0.5733680277510927
desaturations_above_20,0.017827589481772002,0.12754377853546844
desaturations_mean_nadir,0.19796739913379918,0.1651237825544978
desaturations_of_10_20,0.08057562748742425,0.18491128514311045
desaturations_of_4_9,0.5063058334224704,0.48177911390365574
number_of_4_percent_desaturation_apnea_hypopnea_events,0.48242607046849084,0.4765239863477979
number_of_all_respiratory_events,0.3925573968461856,0.38342630777799025
number_of_apnea_hypopnea_events,0.5260751993501407,0.5162667824334461
number_of_central_apnea_hypopnea_events,0.2256291772414345,0.20651238841469544
number_of_desaturation_events,0.4837181036057344,0.47906905324609594
number_of_obstructive_apnea_hypopnea_events,0.5364544637696744,0.5276049473525797
number_of_transitions_nrem_to_rem,0.0344258056550151,0.038978404748067505
number_of_transitions_nrem_to_wake,0.19430169055424565,0.16019655505877506
number_of_transitions_rem_to_nrem,0.0194015583279894,0.03730553588892595
number_of_transitions_rem_to_wake,0.048923236234904896,0.032708415051026646
number_of_transitions_wake_to_nrem,0.1734455868455905,0.14352710106750075
number_of_transitions_wake_to_rem,0.0295184059099039,0.0136475960276706
number_of_wakes,0.1696446323125252,0.12535461854765073
odi,0.49952725530047637,0.4959142722199319
odi_during_left,0.36539131580290274,0.35417973708753503
odi_during_non_supine,0.42680893349173593,0.4380117829490446
odi_during_nrem,0.4081206327670145,0.3954776332465024
odi_during_prone,0.3070342035831942,0.28293932949278944
odi_during_rem,0.5517746137349361,0.5586016276642582
odi_during_right,0.35666572616879333,0.3316325118053522
odi_during_supine,0.4840577490888601,0.46516572044980753
percent_of_deep_sleep_time,0.18656417559133986,0.16053317929156954
percent_of_left_sleep,0.07975664745744325,0.02599632079118165
percent_of_light_sleep_time,0.14816914374206608,0.13759767229157893
percent_of_non_supine_sleep,0.109789621983304,0.07010622696222285
percent_of_prone_sleep,0.02758718664783295,0.0005231567653570208
percent_of_rem_sleep_time,0.08943752876409874,0.0891430135163076
percent_of_right_sleep,0.07826368248141655,0.07645608888783
percent_of_sleep_time,0.08319807661770605,0.046241035540010245
percent_of_supine_sleep,0.10978962297600706,0.0701062263104906
percent_of_wake_time,0.08319806922769585,0.04624103263509505
rdi,0.4220953903187331,0.41505281166172375
rdi_during_left,0.2718700509099353,0.25553926605963495
rdi_during_non_supine,0.3225572753131304,0.32162785961624063
rdi_during_nrem,0.34307274233846075,0.3393685469211468
rdi_during_prone,0.24608144067959042,0.2374249964752024
rdi_during_rem,0.4786138048905739,0.4773167143881071
rdi_during_right,0.2503967792468985,0.24627294740217864
rdi_during_supine,0.4330481119868904,0.410503929379599
rem_latency,0.03196803188901415,0.0401912446582199
saturation_below_80,0.06838417712382505,0.06933390490211525
saturation_below_85,0.07549844787840575,0.14500387827710315
saturation_below_90,0.202719028793513,0.2162346443628109
saturation_below_or_equal_88,0.1548616630015492,0.20434079625704266
saturation_max_value,0.19128033721919424,0.30313582756871743
saturation_mean,0.565357315127323,0.5568219631444885
saturation_min_value,0.3981427417555454,0.33289001440746324
sleep_efficiency,0.07336301681835265,0.057675193091281954
sleep_latency,0.0242608513334093,-0.007234521485993
snore_above_40db,0.1926015902898606,0.15385520602838282
snore_above_45db,0.38433569478584984,0.3605380563289281
snore_above_50db,0.3023058062320992,0.2763558605762214
snore_above_60db,0.0867331726642318,0.08401204367516346
snore_db_mean,0.352951686508373,0.3283337117488079
time_to_transition_nrem_to_rem,0.027663873536996647,0.03747527820451145
time_to_transition_nrem_to_wake,0.08926110234534755,0.04900124427149405
time_to_transition_rem_to_nrem,0.08050535723036105,0.04394795361557885
time_to_transition_rem_to_wake,0.06891033381236056,0.057052960667975244
time_to_transition_wake_to_nrem,0.0247035062188962,0.0340313463166691
time_to_transition_wake_to_rem,-0.0293876146874394,0.005560106668314101
total_arousal_sleep_time,0.01471847605831225,0.04164897907813195
total_deep_sleep_time,0.1203718981609374,0.08965070299818889
total_left_sleep_time,0.08208041386834145,0.024006178867968797
total_light_sleep_time,0.13412625689074764,0.1400336227344513
total_non_supine_sleep_time,0.11198423908593635,0.059062768271933505
total_prone_sleep_time,0.03020107005938735,0.00582411142329575
total_rem_sleep_time,0.03261484204052515,0.03971795705191325
total_right_sleep_time,0.0777826796578644,0.0624662181371416
total_sleep_time,0.015024810976470751,0.03478385039006575
total_supine_sleep_time,0.0889829031352039,0.055869088131949546
total_time_in_bed,0.03018743463907635,0.0515179403507868
total_valid_apnea_central_sleep_time,0.046215076765737204,0.0418804050581495
total_valid_apnea_sleep_time,0.040942050081600095,0.06026224953928815
total_wake_time,0.0921421342209909,0.06686189285603125
total_wake_time_after_sleep_onset,0.08803275265651661,0.05204934625697215
variability_between_sleep_stage_percents,0.1546928413217284,0.13884485132526203
