,"Age, BMI & VAT",Cardiovascular system
saturation_max_value,0.1912803372191943,0.3031358275687173
desaturations_above_20,0.01782758948177185,0.1275437785354696
desaturations_of_10_20,0.08057562748742425,0.18491128514311106
saturation_below_85,0.07549844787840575,0.14500387827710326
saturation_below_or_equal_88,0.15486166300154913,0.20434079625704266
total_arousal_sleep_time,0.01471847605831225,0.04164897907813195
total_time_in_bed,0.030187434639076402,0.05151794035078685
total_sleep_time,0.015024810976470751,0.03478385039006575
total_valid_apnea_sleep_time,0.040942050081600095,0.0602622495392882
number_of_transitions_rem_to_nrem,0.0194015583279894,0.03730553588892595
saturation_below_90,0.202719028793513,0.21623464436281103
odi_during_non_supine,0.42680893349173576,0.4380117829490447
time_to_transition_nrem_to_rem,0.027663873536996647,0.03747527820451145
time_to_transition_wake_to_nrem,0.0247035062188962,0.0340313463166691
rem_latency,0.03196803188901415,0.0401912446582199
total_rem_sleep_time,0.03261484204052515,0.03971795705191335
odi_during_rem,0.551774613734936,0.5586016276642582
total_light_sleep_time,0.13412625689074764,0.1400336227344513
