,clinical_OSA
0,0.49975984630163306
1,0.49975984630163306
2,0.49975984630163306
3,0.49975984630163306
4,0.49975984630163306
5,0.49975984630163306
6,0.49951969260326606
7,0.49951969260326606
8,0.49975984630163306
9,0.49951969260326606
10,0.49975984630163306
11,0.49975984630163306
12,0.49975984630163306
13,0.49951969260326606
14,0.49951969260326606
15,0.49975984630163306
16,0.49975984630163306
17,0.49975984630163306
18,0.49975984630163306
19,0.49951969260326606
20,0.49951969260326606
21,0.49975984630163306
22,0.49951969260326606
23,0.49951969260326606
24,0.49975984630163306
25,0.49975984630163306
26,0.49951969260326606
27,0.49975984630163306
28,0.49975984630163306
29,0.49951969260326606
30,0.49975984630163306
31,0.49975984630163306
32,0.49975984630163306
33,0.49951969260326606
34,0.49975984630163306
35,0.49975984630163306
36,0.49975984630163306
37,0.49975984630163306
38,0.49975984630163306
39,0.49975984630163306
40,0.49951969260326606
41,0.49975984630163306
42,0.49975984630163306
43,0.49975984630163306
44,0.49975984630163306
45,0.49975984630163306
46,0.49975984630163306
47,0.49975984630163306
48,0.49975984630163306
49,0.49975984630163306
