,"Age, BMI & VAT","Sleep Quality at baseline
"
Allergy,0.5,0.5046755010301555
Analfissure,0.5,0.4996980676328502
Anemia,0.5,0.5
Anxiety,0.5,0.5074841330762174
Asthma,0.5,0.4997034400948991
Atopicdermatitis,0.5,0.4994216310005783
AttentionDeficitDisorderADHD,0.5,0.5004135649296939
B12deficiency,0.5,0.5
Backpain,0.5,0.50646622453721
BasalCellCarcinoma,0.5,0.4994295493439817
COVID19,0.5,0.4996839443742099
Chronicsinusitis,0.5,0.5
Depression,0.5,0.4994252873563218
EpisodicVertigo,0.5,0.5
FattyLiverDisease,0.5,0.4987878787878788
Fracture,0.5,0.4993646759847522
G6PD,0.5,0.5
Gallstonedisease,0.5,0.5
Gout,0.5,0.49956697459584287
Haemorrhoids,0.5,0.4997812007701733
Headache,0.5,0.499716231555051
Hearingloss,0.5,0.5
Heartvalvedisease,0.5,0.5
Hyperlipidemia,0.5372101167315175,0.5444007782101167
Hypertension,0.523066035839989,0.5195441913609664
Hypothyroidism,0.5,0.4994272623138602
Insomnia,0.5,0.4997167138810198
IrritableBowelSyndromeIBS,0.5,0.5
Migraine,0.5,0.5
Obesity,0.5534308827353983,0.5432744295550049
Oralaphthae,0.5,0.4995603751465416
Osteoarthritis,0.5,0.5
PepticDis,0.5,0.5
PepticUlcerDisease,0.5,0.5
Prediabetes,0.5,0.4996953077391834
Psoriasis,0.5,0.4997103128621089
SleepApnea,0.5,0.5176945244956772
Urinarytractstones,0.5,0.5041592394533572
