,"Age, BMI & VAT","Sleep Quality at baseline
"
Anxiety,0.5,0.5180190831200624
Hypertension,0.5077111823594844,0.5251014198782962
Hyperlipidemia,0.5113780532134025,0.5221591840516597
Osteopenia,0.5052083333333334,0.5137553418803419
Prediabetes,0.4997236042012161,0.5065839565276344
Depression,0.5,0.503682210800705
Analfissure,0.5,0.5029140397428038
Asthma,0.5,0.5027921879001842
AttentionDeficitDisorderADHD,0.5,0.5024338348067032
Migraine,0.5,0.5013160460128679
Backpain,0.5,0.5011699589022935
Heartvalvedisease,0.5,0.5
