,"Age, BMI & VAT","Sleep Quality at baseline
"
Allergy,False,False
Analfissure,False,True
Anemia,False,False
Anxiety,False,False
Asthma,False,True
Atopicdermatitis,False,True
AttentionDeficitDisorderADHD,False,True
B12deficiency,False,False
Backpain,False,False
BasalCellCarcinoma,False,True
COVID19,False,True
Chronicsinusitis,False,True
Depression,False,True
EpisodicVertigo,False,True
FattyLiverDisease,False,True
Fracture,False,True
G6PD,False,True
Gallstonedisease,False,False
Gout,False,True
Haemorrhoids,False,True
Headache,False,True
Hearingloss,False,False
Heartvalvedisease,False,False
Hyperlipidemia,False,False
Hypertension,False,True
Hypothyroidism,False,True
Insomnia,False,True
IrritableBowelSyndromeIBS,False,True
Migraine,False,True
Obesity,False,True
Oralaphthae,False,True
Osteoarthritis,False,True
PepticDis,False,False
PepticUlcerDisease,False,True
Prediabetes,False,True
Psoriasis,False,True
SleepApnea,False,False
Urinarytractstones,False,False
