,"Age, BMI & VAT","Sleep Quality at baseline
"
Allergy,0.0,0.0022601780242680132
Analfissure,0.0,0.00028323766665600003
Anemia,0.0,0.00015263311942153877
Anxiety,0.0,0.003345696760761997
Asthma,0.0,0.0003055034125965238
Atopicdermatitis,0.0,0.00031597658722585284
AttentionDeficitDisorderADHD,0.0,0.0016246267206949322
B12deficiency,0.0,0.0
Backpain,0.0,0.0023513869282904133
BasalCellCarcinoma,0.0,0.00035503253053204193
COVID19,0.0,0.0003497366214743981
Chronicsinusitis,0.0,0.00021599019141001666
Depression,0.0,0.00037998149311678584
EpisodicVertigo,0.0,0.0002288921860342144
FattyLiverDisease,5.99844435521693e-05,0.0005704758983928897
Fracture,0.0,0.0012585059608707044
G6PD,0.0,0.00023652085761813037
Gallstonedisease,0.0,0.00024796772832981603
Gout,0.0,0.00031407840258429644
Haemorrhoids,0.0,0.0011206701155625528
Headache,0.0,0.008395530264631489
Hearingloss,0.0,0.00027142626373045437
Heartvalvedisease,0.0,0.00023781184481361448
Hyperlipidemia,0.0023538452356131256,0.004131500197170442
Hypertension,0.003583503921767535,0.004183500151992702
Hypothyroidism,0.0,0.00022023022146448658
Insomnia,0.0,0.00010993992478517169
IrritableBowelSyndromeIBS,0.0,0.0002123735171305058
Migraine,0.0,0.0001549340532825688
Obesity,0.008934707648196214,0.00940848565803914
Oralaphthae,0.0,0.0003416369475603035
Osteoarthritis,0.0,0.00024503798088705347
PepticDis,0.0,0.00012659642791241157
PepticUlcerDisease,0.0,0.0005955114918956613
Prediabetes,0.0,0.0010634132674871605
Psoriasis,0.0,0.001991306913009265
SleepApnea,0.0,0.00728229526695529
Urinarytractstones,0.0,0.002351452277150602
