,"Age, BMI & VAT","Sleep Quality at baseline
"
Allergy,0.5,0.49747736364289646
Analfissure,0.5,0.5029140397428038
Anemia,0.5,0.4991753710830126
Anxiety,0.5,0.5180190831200624
Asthma,0.5,0.5027921879001842
Atopicdermatitis,0.5,0.4997376705141658
AttentionDeficitDisorderADHD,0.5,0.5024338348067032
B12deficiency,0.5,0.4997273718647764
Backpain,0.5,0.5011699589022935
BasalCellCarcinoma,0.5,0.4994815966822187
COVID19,0.5,0.4988629903354178
Chronicsinusitis,0.5,0.4994700582935877
Depression,0.5,0.503682210800705
EndometriosisandAdenomyosis,0.5,0.4994788952579468
EpisodicVertigo,0.5,0.4992008524240809
FattyLiverDisease,0.4997362869198312,0.4986814345991561
Fibromyalgia,0.5,0.4987019730010384
FolicAcidDeficiency,0.5,0.4994853319608852
Fracture,0.5,0.5009005327300591
G6PD,0.5,0.4997433264887063
Gallstonedisease,0.5,0.4989235737351991
Haemorrhoids,0.5,0.5003020874681859
Hashimoto,0.5,0.4994837377387713
Headache,0.5,0.499738356881214
Hearingloss,0.5,0.4994722955145119
Heartvalvedisease,0.5,0.5
Hyperlipidemia,0.5113780532134025,0.5221591840516597
Hypertension,0.5077111823594844,0.5251014198782962
Hyperthyroidism,0.5,0.4989637305699482
Hypothyroidism,0.5,0.4988558352402746
Insomnia,0.5,0.49961059190031154
IrritableBowelSyndromeIBS,0.5,0.4986890403775563
Migraine,0.5,0.5013160460128679
Obesity,0.6456385765028085,0.6430443656890455
Oralaphthae,0.5,0.4991991457554725
Osteoarthritis,0.5,0.49881266490765164
Osteopenia,0.5052083333333334,0.5137553418803419
Osteoporosis,0.5,0.499739989599584
PepticDis,0.5,0.4994824016563147
PepticUlcerDisease,0.5,0.4995847300745484
PolycysticOvaryDisease,0.5,0.4997319034852547
Prediabetes,0.4997236042012161,0.5065839565276344
Psoriasis,0.5,0.4992134242265338
Urinarytractinfection,0.5,0.4985478993940863
Urinarytractstones,0.5,0.4989680082559339
