,Age & BMI,"HRV at baseline
"
Allergy,False,True
Analfissure,False,True
Anemia,False,True
Anxiety,False,False
Asthma,False,False
Atopicdermatitis,False,True
AttentionDeficitDisorderADHD,False,False
B12deficiency,False,True
Backpain,False,True
BasalCellCarcinoma,False,True
COVID19,False,True
Chronicsinusitis,False,True
Depression,False,True
EndometriosisandAdenomyosis,False,True
EpisodicVertigo,False,True
FattyLiverDisease,False,True
Fibromyalgia,False,True
FolicAcidDeficiency,False,True
Fracture,False,True
G6PD,False,False
Gallstonedisease,False,True
Glaucoma,False,True
Haemorrhoids,False,True
Hashimoto,False,True
Headache,False,True
Hearingloss,False,True
Heartvalvedisease,False,True
Hyperlipidemia,False,False
Hypertension,False,True
Hyperthyroidism,False,True
Hypothyroidism,False,False
Insomnia,False,True
IrritableBowelSyndromeIBS,False,False
Migraine,False,True
Obesity,False,True
Oralaphthae,False,True
Osteoarthritis,False,True
Osteopenia,False,True
Osteoporosis,False,False
PepticDis,False,False
PepticUlcerDisease,False,True
PolycysticOvaryDisease,False,True
Prediabetes,False,False
Primaryhypercholesterolaemia,False,True
Psoriasis,False,True
SleepApnea,False,True
Urinarytractinfection,False,False
Urinarytractstones,False,False
Vitiligo,False,True
