,Age & BMI,"HRV at baseline
"
Allergy,0.5,0.5065339101091976
Analabscess,0.5,0.4997686256362795
Analfissure,0.5,0.4992596248766041
Anemia,0.5,0.5
Anxiety,0.5,0.4997630331753555
Asthma,0.5,0.4997568093385214
Atopicdermatitis,0.5,0.5072209799030991
AttentionDeficitDisorderADHD,0.5,0.501200775619432
B12deficiency,0.5,0.4995162070633768
Backpain,0.5,0.4989075694146272
BasalCellCarcinoma,0.5,0.5
COVID19,0.5,0.501562222616723
Chronicsinusitis,0.5,0.4992927864214992
Depression,0.5,0.5
EpisodicVertigo,0.5,0.4997668997668997
FattyLiverDisease,0.5,0.4992526158445441
Fracture,0.5,0.5006537487006237
G6PD,0.5,0.5
Gallstonedisease,0.5,0.5
Glaucoma,0.5,0.4997685185185185
Gout,0.5,0.4997640396413402
Haemorrhoids,0.5,0.5001592141045396
Headache,0.5,0.5
Hearingloss,0.5,0.5046217334195925
Heartvalvedisease,0.5,0.4997667910447761
Hyperlipidemia,0.536396299977066,0.5411130647504013
Hypertension,0.5336847588403502,0.5404632196942978
Hypothyroidism,0.5,0.4997652582159624
Insomnia,0.5,0.4997678737233055
IrritableBowelSyndromeIBS,0.5,0.5
Migraine,0.5,0.4997621313035204
Obesity,0.5687717248550985,0.5489795791540824
Oralaphthae,0.5,0.5
Osteoarthritis,0.5,0.4997653683716565
PepticDis,0.5,0.5
PepticUlcerDisease,0.5,0.4994916115912557
Prediabetes,0.5,0.499247743229689
Psoriasis,0.5,0.4997633696166588
SleepApnea,0.5,0.499526963103122
Urinarytractstones,0.5,0.5
Vitiligo,0.5,0.5
