,Age & BMI,"HRV at baseline
"
Allergy,False,False
Analabscess,False,True
Analfissure,False,True
Anemia,False,False
Anxiety,False,True
Asthma,False,True
Atopicdermatitis,False,False
AttentionDeficitDisorderADHD,False,False
B12deficiency,False,True
Backpain,False,True
BasalCellCarcinoma,False,False
COVID19,False,False
Chronicsinusitis,False,True
Depression,False,False
EpisodicVertigo,False,True
FattyLiverDisease,False,True
Fracture,False,True
G6PD,False,False
Gallstonedisease,False,False
Glaucoma,False,True
Gout,False,True
Haemorrhoids,False,True
Headache,False,False
Hearingloss,False,False
Heartvalvedisease,False,True
Hyperlipidemia,False,False
Hypertension,False,False
Hypothyroidism,False,True
Insomnia,False,True
IrritableBowelSyndromeIBS,False,True
Migraine,False,True
Obesity,False,True
Oralaphthae,False,False
Osteoarthritis,False,True
PepticDis,False,False
PepticUlcerDisease,False,True
Prediabetes,False,True
Psoriasis,False,True
SleepApnea,False,True
Urinarytractstones,False,True
Vitiligo,False,False
