,"Age, BMI & VAT",Insulin resistance
saturation_max_value,0.01213126103541385,0.22144438046179934
number_of_transitions_rem_to_nrem,0.0506384863561557,0.130233317222755
total_arousal_sleep_time,0.0549194241610899,0.10976506188788321
total_sleep_time,0.05511542163848015,0.10782062131998066
total_prone_sleep_time,0.009018418229048149,0.0555900074873475
total_time_in_bed,0.06221941529690605,0.0981540617018326
desaturations_mean_nadir,0.37595445016060125,0.4027143729788887
total_valid_apnea_sleep_time,0.08389066999934719,0.1083868175527381
total_rem_sleep_time,0.078332510032974,0.10154089660120805
total_deep_sleep_time,0.21480053056530335,0.2325395965671885
number_of_transitions_nrem_to_rem,0.10307248894349394,0.11973635545432465
total_valid_apnea_central_sleep_time,0.05620937473104075,0.07244509210260605
total_light_sleep_time,0.13374938611181758,0.14899914340129336
rdi_during_nrem,0.37745306590149397,0.3890583196754528
number_of_all_respiratory_events,0.37022746645215987,0.3815630684883261
total_non_supine_sleep_time,0.15143614400785455,0.162665925937719
saturation_mean,0.46197519013296406,0.47313769302510666
rdi,0.4157658346335855,0.42579512934597885
number_of_wakes,0.12153822260304756,0.12899815688516703
ahi_obstructive_during_nrem,0.49289296015123507,0.4994462556978248
snore_above_40db,0.16281252220504974,0.1687363900192267
rdi_during_left,0.2729785451496763,0.2784653792926638
ahi_during_prone,0.38797983596006985,0.3933382288733351
number_of_obstructive_apnea_hypopnea_events,0.494215983063817,0.4994716906612442
variability_between_sleep_stage_percents,0.1921115105172469,0.1973265165886719
rdi_during_non_supine,0.31615248810412067,0.3211993306125047
ahi_during_nrem,0.47299754340144184,0.47748941081097973
number_of_apnea_hypopnea_events,0.47854127636327026,0.48293967270974725
desaturations_of_4_9,0.48346452766796755,0.48615474817987103
ahi_obstructive,0.5246949976545767,0.5272600314632079
snore_db_mean,0.3304370524340142,0.3329085337007593
rdi_during_rem,0.44092904298512514,0.44308730215058095
snore_above_60db,0.1257053313293371,0.12779726941180158
AHI,0.5086557719389162,0.5103594397264324
ahi_central_during_rem,0.22386380787141247,0.2253250776448839
ahi_obstructive_during_rem,0.5227111536933704,0.5238994520506286
