,"Age, BMI & VAT",Insulin resistance
AHI,0.0019625067297390974,0.0027262636147540016
ahi_4_percent,0.0025801062516621733,0.002963738129185172
ahi_central,0.008126464336299823,0.008050154427788813
ahi_central_during_nrem,0.009718651219991012,0.010254037864762642
ahi_central_during_rem,0.009586535561801298,0.00993779487291269
ahi_during_left,0.003388620675444379,0.005387605378036124
ahi_during_non_supine,0.0027792889243228487,0.004044453444954491
ahi_during_nrem,0.002909514324669195,0.003066123095837164
ahi_during_prone,0.004593455099377319,0.008438781953322599
ahi_during_rem,0.002065971753115657,0.002725561820401191
ahi_during_right,0.0035438895430535316,0.005355715974233303
ahi_during_supine,0.0019189123085321886,0.004199685809966606
ahi_obstructive,0.001579541331170977,0.002749656414455033
ahi_obstructive_during_nrem,0.002003401000119024,0.0031753950774279166
ahi_obstructive_during_rem,0.0017652101644029924,0.0027681936774903277
desaturations_mean_nadir,0.003775446582121977,0.0036533865405674595
desaturations_of_10_20,0.012411221663467644,0.012295107610230364
desaturations_of_4_9,0.0031488567135102893,0.0031873558864771857
number_of_4_percent_desaturation_apnea_hypopnea_events,0.003320477425087312,0.0036111890435943715
number_of_all_respiratory_events,0.0035147040968168753,0.004641574560576294
number_of_apnea_hypopnea_events,0.0028093365053157046,0.003246091537520294
number_of_central_apnea_hypopnea_events,0.011462034738848697,0.01146148784045023
number_of_desaturation_events,0.00351252562745754,0.0037554153751910104
number_of_obstructive_apnea_hypopnea_events,0.0019912086020577213,0.002321863026866708
number_of_transitions_nrem_to_rem,0.01432825636012791,0.015509686297745016
number_of_transitions_nrem_to_wake,0.00861985938858158,0.009952857651161728
number_of_transitions_rem_to_nrem,0.022280102995572627,0.014387942973290381
number_of_transitions_rem_to_wake,0.016631378413625754,0.016597269432927934
number_of_transitions_wake_to_nrem,0.007199036744057737,0.009330915376824156
number_of_transitions_wake_to_rem,0.014466230123289835,0.014466230123289835
number_of_wakes,0.007853071472144606,0.011152840166133875
odi,0.0028765217054059016,0.003111645585105166
odi_during_left,0.004660348406007407,0.004972209202259172
odi_during_non_supine,0.004076936165966341,0.004340712530024848
odi_during_nrem,0.004185566711422228,0.004452647044267804
odi_during_prone,0.005010750078010648,0.007345782502080681
odi_during_rem,0.002804460981946449,0.0032783179954731004
odi_during_right,0.0045927869671683495,0.005145630054133716
odi_during_supine,0.0026306980684510928,0.00388052447957433
percent_of_deep_sleep_time,0.003212536862876596,0.005738539155261683
percent_of_left_sleep,0.00934391888073262,0.018620424840647624
percent_of_light_sleep_time,0.004247540471820634,0.008461383306095534
percent_of_non_supine_sleep,0.006741371998805372,0.013478338382259763
percent_of_prone_sleep,0.022060815497288288,0.02180003144769344
percent_of_rem_sleep_time,0.007605990039170357,0.013267489907405264
percent_of_right_sleep,0.008874004760331072,0.013910221411163489
percent_of_sleep_time,0.012771809093661308,0.018480969357833988
percent_of_supine_sleep,0.006741371998805383,0.013478338382259751
percent_of_wake_time,0.012771809093661391,0.018480969357833978
rdi,0.0022404828328700774,0.003522294810560052
rdi_during_left,0.004281369846675384,0.007236497718196957
rdi_during_non_supine,0.003371808971025725,0.005129024701062567
rdi_during_nrem,0.0033671741820936723,0.004099225005675416
rdi_during_prone,0.0059910694046580604,0.007024093165787902
rdi_during_rem,0.002459442247566764,0.0041385166829733646
rdi_during_right,0.005073857524455946,0.007026744204183411
rdi_during_supine,0.0023291460201052667,0.004796766169420775
rem_latency,0.012072240294897285,0.014283426107600484
saturation_below_80,0.017795047095254923,0.017795047095254923
saturation_below_85,0.01918705950236482,0.019187059502364823
saturation_below_90,0.012442872226150535,0.012442897224254372
saturation_below_or_equal_88,0.026114123137874815,0.026114123137874815
saturation_max_value,0.028043871082791477,0.008694051027138336
saturation_mean,0.003334748004274668,0.0033715895999582345
saturation_min_value,0.0029263940045230617,0.0037030392996862766
sleep_efficiency,0.016608551974118816,0.016608551974118816
sleep_latency,0.01647901877639972,0.01849211077046116
snore_above_40db,0.00689513852488352,0.009170147325744511
snore_above_45db,0.003915745005750819,0.004186047899918973
snore_above_50db,0.007223561776486125,0.007459154162627195
snore_above_60db,0.02239379999267567,0.022787782107216523
snore_db_mean,0.0055385977241272245,0.0057673242658198174
time_to_transition_nrem_to_rem,0.017884104825917804,0.025396877367528888
time_to_transition_nrem_to_wake,0.009646762043540386,0.021894393727602168
time_to_transition_rem_to_nrem,0.0065995718970291205,0.012795736977012322
time_to_transition_rem_to_wake,0.01768598252332633,0.01605108674914144
time_to_transition_wake_to_nrem,0.004530949458668263,0.007257872136207379
time_to_transition_wake_to_rem,0.01091336459120746,0.013747321200945304
total_arousal_sleep_time,0.011437340891697635,0.012801324070460359
total_deep_sleep_time,0.004351573533236685,0.009193526519096995
total_left_sleep_time,0.007641947003646696,0.012132495011536784
total_light_sleep_time,0.006671213896010061,0.010945939855930287
total_non_supine_sleep_time,0.006326088752793046,0.010878252757052426
total_prone_sleep_time,0.019356858650482034,0.015031655341662824
total_rem_sleep_time,0.010721039169939698,0.015690353139582905
total_right_sleep_time,0.006925149709928602,0.01200628606144288
total_sleep_time,0.01148748754163775,0.012885226674675255
total_supine_sleep_time,0.008116688564783193,0.012966845786750019
total_time_in_bed,0.01073052765974904,0.013236882653571131
total_valid_apnea_central_sleep_time,0.01316123151921909,0.012372747091997465
total_valid_apnea_sleep_time,0.009206066332035726,0.012259569124269305
total_wake_time,0.010543134179961939,0.020190406795702224
total_wake_time_after_sleep_onset,0.010007366234424818,0.015896379600157995
variability_between_sleep_stage_percents,0.003708494620721751,0.007113950295660534
