,"Age, BMI & VAT",Insulin resistance
AHI,0.00158135035228255,0.0020096032198509287
ahi_4_percent,0.002078074189374672,0.002121425973319863
ahi_central,0.006594010671170558,0.006594005433887521
ahi_central_during_nrem,0.0051214206879287615,0.00512139879040058
ahi_central_during_rem,0.004710681797157811,0.004707175704993984
ahi_during_left,0.0027845497448079526,0.0038848236762592156
ahi_during_non_supine,0.0019264669157001383,0.0030390253282951206
ahi_during_nrem,0.0016023583395356953,0.002073996691640194
ahi_during_prone,0.0037169196422663924,0.005279781809950128
ahi_during_rem,0.0014849825995873877,0.002531430524312421
ahi_during_right,0.002413087710390077,0.004464875685716867
ahi_during_supine,0.0013416855343930739,0.0024147645961774974
ahi_obstructive,0.0017251476992034794,0.0025684316872462516
ahi_obstructive_during_nrem,0.0019573581706928277,0.002660159586552507
ahi_obstructive_during_rem,0.0013955649751755768,0.002334475885759599
desaturations_above_20,0.015447824414054094,0.015447824414054116
desaturations_mean_nadir,0.005860791651244579,0.007835835077677268
desaturations_of_10_20,0.0059262816497939515,0.006040157432149128
desaturations_of_4_9,0.0019053098748940409,0.0021774722217547614
number_of_4_percent_desaturation_apnea_hypopnea_events,0.0022042937730203786,0.002181712555545712
number_of_all_respiratory_events,0.002311333634056027,0.002463515754374248
number_of_apnea_hypopnea_events,0.0018597614056973456,0.0019533253841262912
number_of_central_apnea_hypopnea_events,0.004492063989951523,0.004435783677931046
number_of_desaturation_events,0.0019278075051579616,0.002214986996693379
number_of_obstructive_apnea_hypopnea_events,0.0017858947299115439,0.0023535558041353466
number_of_transitions_nrem_to_rem,0.0201061106925202,0.023208503895684303
number_of_transitions_nrem_to_wake,0.003932868121259812,0.005555975608423475
number_of_transitions_rem_to_nrem,0.022088408964672054,0.022029370013815105
number_of_transitions_rem_to_wake,0.016501472473624778,0.016501472473624778
number_of_transitions_wake_to_nrem,0.003964370174337559,0.005314851953724173
number_of_transitions_wake_to_rem,0.01571403648111802,0.015714036481118028
number_of_wakes,0.004887468888603928,0.0057629476778945565
odi,0.0020593784428994525,0.002226525220344084
odi_during_left,0.0037739692410791057,0.003657226334907708
odi_during_non_supine,0.0033123244082058616,0.003195269298096452
odi_during_nrem,0.0024657706417899805,0.0028711064129264777
odi_during_prone,0.005416274374585967,0.005325593984331593
odi_during_rem,0.0021935514889517673,0.002743770241209131
odi_during_right,0.003515212193062439,0.004652824887722605
odi_during_supine,0.0019915104295934387,0.002657551517084752
percent_of_deep_sleep_time,0.003573941246464981,0.004943392837336643
percent_of_left_sleep,0.007835860275682416,0.01755120422128892
percent_of_light_sleep_time,0.004483138397139804,0.006974742093954691
percent_of_non_supine_sleep,0.0058650330954898924,0.009796704402910325
percent_of_prone_sleep,0.01739189604807044,0.01739189604807044
percent_of_rem_sleep_time,0.005978533505083697,0.009224905531693387
percent_of_right_sleep,0.007618191501567922,0.019446331307617255
percent_of_sleep_time,0.007340208590690099,0.009121343889351392
percent_of_supine_sleep,0.005865033095489919,0.00979670440291033
percent_of_wake_time,0.007340208590690195,0.00912134388935149
rdi,0.002217079298518678,0.002621090716425427
rdi_during_left,0.004598574128468886,0.006580497129245681
rdi_during_non_supine,0.0028000276721229064,0.004505748096117667
rdi_during_nrem,0.00216937926374766,0.003282911408590096
rdi_during_prone,0.003406419853732077,0.006927275628015193
rdi_during_rem,0.0018180351459820313,0.003326058323088093
rdi_during_right,0.003057870915547283,0.0060534383795284065
rdi_during_supine,0.001880509832240587,0.0029294779183121926
rem_latency,0.010402997303282922,0.01058117170062926
saturation_below_80,0.02256657281661694,0.02256657281661696
saturation_below_85,0.013175762251333534,0.013175762251333541
saturation_below_90,0.03832369013453787,0.03832369013453789
saturation_below_or_equal_88,0.016987397607214665,0.016987397607214676
saturation_max_value,0.02102621795633775,0.006467694557596968
saturation_mean,0.0017564839246880328,0.0020633944994322864
saturation_min_value,0.0017971995193980098,0.0023484666753753017
sleep_efficiency,0.008698899305274711,0.01274272371690807
sleep_latency,0.017614307805047556,0.014552627094591328
snore_above_40db,0.0060466206254507346,0.008575518739120583
