,"Age, BMI & VAT",Renal function
AHI,0.47870386574927015,0.4648751262879381
ahi_4_percent,0.46430388069243733,0.4444093569114681
ahi_central,0.1322090998527865,0.13194466883699618
ahi_central_during_nrem,0.09529917841124466,0.10472863081157785
ahi_central_during_rem,0.1357026569461328,0.1208722355257472
ahi_during_left,0.3382608933010753,0.31065928742129
ahi_during_non_supine,0.42061660307852466,0.3965401150380327
ahi_during_nrem,0.44145321851613856,0.4308212380951838
ahi_during_prone,0.35118393303918705,0.33210713491894217
ahi_during_rem,0.4770978805607685,0.460263631406447
ahi_during_right,0.3391170525045928,0.3291515239493069
ahi_during_supine,0.4788402382330317,0.468805892096824
ahi_obstructive,0.4927310149837306,0.4788567269840873
ahi_obstructive_during_nrem,0.46098359359601104,0.4505401870561827
ahi_obstructive_during_rem,0.4803003960727451,0.46531517592513005
desaturations_mean_nadir,0.31320713340070505,0.2934720593211449
desaturations_of_10_20,0.22673640365838788,0.209578779238758
desaturations_of_4_9,0.4719545032856721,0.4526197574174107
number_of_4_percent_desaturation_apnea_hypopnea_events,0.44945214268384637,0.4281903420963708
number_of_all_respiratory_events,0.3425152447963322,0.3240162156921701
number_of_apnea_hypopnea_events,0.45448841329626594,0.44035384287763
number_of_central_apnea_hypopnea_events,0.1459347182184711,0.1365010562230439
number_of_desaturation_events,0.45696487840118166,0.4336911928416949
number_of_obstructive_apnea_hypopnea_events,0.46309639397358493,0.45246819277679684
number_of_transitions_nrem_to_rem,0.03122850566240375,0.0326658960050291
number_of_transitions_nrem_to_wake,0.093873610113459,0.08894651573460255
number_of_transitions_rem_to_nrem,0.02407624639975605,0.0373169062551412
number_of_transitions_rem_to_wake,-0.00092544066288295,-0.030321241266746297
number_of_transitions_wake_to_nrem,0.10680174907737805,0.10431827120096805
number_of_transitions_wake_to_rem,0.0365429832363979,0.0126898928232553
number_of_wakes,0.089480802976514,0.0841529213408169
odi,0.4734786037529559,0.45202160647911205
odi_during_left,0.38580146421939765,0.36529085310585496
odi_during_non_supine,0.4491752734742201,0.41757938874853384
odi_during_nrem,0.4167375549727623,0.39964100953114756
odi_during_prone,0.3704321331482512,0.35780229304221667
odi_during_rem,0.4893417020888303,0.4727413227705116
odi_during_right,0.3827655627871716,0.36381596867651633
odi_during_supine,0.46077482266361736,0.4404084554146948
percent_of_deep_sleep_time,0.1496222390473384,0.10805794602691685
percent_of_left_sleep,0.0211545959727081,0.0625198035565167
percent_of_light_sleep_time,0.1255004215524962,0.09850287147584044
percent_of_non_supine_sleep,0.0928211544233482,0.07726079410895295
percent_of_prone_sleep,0.027736096918987152,0.035442102898093894
percent_of_rem_sleep_time,0.07857813908562855,0.0636895560979366
percent_of_right_sleep,0.0783062353812964,0.1003813739253273
percent_of_sleep_time,0.0641206222534936,0.0670705206153588
percent_of_supine_sleep,0.09282115436882496,0.07726079396543939
percent_of_wake_time,0.0641206269916078,0.06707052996055315
rdi,0.38083761847584907,0.3615721861276589
rdi_during_left,0.24345418002940145,0.21772793070835533
rdi_during_non_supine,0.30481003298312254,0.2765815301330692
rdi_during_nrem,0.33708330614796267,0.32355610499872645
rdi_during_prone,0.19474352477361107,0.18885472287086705
rdi_during_rem,0.3865926447720406,0.3653055463762921
rdi_during_right,0.21681716499676354,0.18848618334027506
rdi_during_supine,0.38771987422688053,0.3738929096922391
rem_latency,0.07906667325071004,0.03966173896299515
saturation_below_80,0.13521593123515555,0.0979410353001909
saturation_below_85,0.1862169056366444,0.15476385121575154
saturation_below_90,0.29680114701898214,0.2781062236846994
saturation_below_or_equal_88,0.27099308184783055,0.25024310899254754
saturation_max_value,0.0683906024434926,0.04125794386336035
saturation_mean,0.439947563651198,0.41671455586520845
saturation_min_value,0.34512854641463664,0.3299237493241457
sleep_efficiency,0.0428908993297618,0.035678807791120454
sleep_latency,0.01599027234913605,0.0190668993529834
snore_above_40db,0.13042093299299096,0.09781231724342855
snore_above_45db,0.301475430948028,0.2750214809972519
snore_above_50db,0.22727714640992724,0.20506620659798702
snore_above_60db,0.1029203502268541,0.06632150227199879
snore_db_mean,0.2715289783825646,0.24315721433479465
time_to_transition_nrem_to_rem,0.0219025670573055,0.0136372600291301
time_to_transition_nrem_to_wake,0.0559140373729029,0.0414558095087673
time_to_transition_rem_to_nrem,0.10031855550837734,0.0574548585360756
time_to_transition_rem_to_wake,0.0505562994674701,0.049934612089056155
time_to_transition_wake_to_nrem,0.13845512756511305,0.14061339983141136
time_to_transition_wake_to_rem,0.0113879959738135,0.0041681741241094
total_arousal_sleep_time,-0.00690548246505925,0.03868076536592665
total_deep_sleep_time,0.14993656281992807,0.11907921229934265
total_left_sleep_time,0.035460028979458144,0.0710267944828535
total_light_sleep_time,0.0537794398344629,0.0683798467868948
total_non_supine_sleep_time,0.0889916973938996,0.0816220636523668
total_prone_sleep_time,0.02703222902434755,0.03366622082440015
total_rem_sleep_time,0.056913570299238755,0.05745214628561915
total_right_sleep_time,0.06802790468712255,0.09346655209783206
total_sleep_time,-0.0057703735572389,0.040355811829121555
total_supine_sleep_time,0.06634941935404426,0.08425259558190375
total_time_in_bed,-0.0129362123487429,0.0275026488902875
total_valid_apnea_central_sleep_time,-0.018507984903727202,0.01303156559998685
total_valid_apnea_sleep_time,-0.0105410998386724,0.031769712724827356
total_wake_time,0.047091528370737754,0.03352673867285385
total_wake_time_after_sleep_onset,0.0736191706223069,0.06654309247905454
variability_between_sleep_stage_percents,0.1322182445915957,0.10731862563443725
