,Age & BMI,Renal function
total_time_in_bed,0.02764649421989175,0.047659248627938605
total_valid_apnea_central_sleep_time,0.0311419436176239,0.0471272968392408
saturation_below_85,0.0853020666300668,0.10085175060654966
total_arousal_sleep_time,0.0097174446366119,0.02341616957852395
total_valid_apnea_sleep_time,0.04323850978132095,0.056229679163131
percent_of_right_sleep,0.07076122801266341,0.0833930311555667
desaturations_of_10_20,0.0816502158243511,0.0942362683429986
time_to_transition_rem_to_wake,0.0253274921763148,0.0375127661948454
total_sleep_time,0.0120541558032291,0.0236385912211569
desaturations_above_20,0.01801764603157125,0.0264667198169188
saturation_below_or_equal_88,0.14012842605866585,0.1485719330563072
number_of_central_apnea_hypopnea_events,0.2205056292918608,0.22791162936483986
