,"Age, BMI & VAT",Insulin resistance
saturation_max_value,0.049755039818053653,0.19265157123910193
percent_of_wake_time,0.005277555009530151,0.1091812208586473
percent_of_sleep_time,0.0052775632301304,0.10918121984984035
total_wake_time_after_sleep_onset,0.0336120250153842,0.10330008976239125
number_of_transitions_rem_to_nrem,0.003124785576841,0.0727139130344067
total_time_in_bed,0.00773277948551695,0.06452801678296374
percent_of_rem_sleep_time,0.02845236737336665,0.0842613175195937
number_of_transitions_nrem_to_wake,0.0816028219147991,0.1288339222622917
time_to_transition_wake_to_nrem,0.09212149814748649,0.13028755561172084
number_of_wakes,0.08398819429057294,0.12083245218399205
time_to_transition_rem_to_nrem,0.00938725789780325,0.0407640693477295
number_of_transitions_wake_to_nrem,0.09579577163277805,0.12216980441817445
total_valid_apnea_central_sleep_time,0.0059121904798387,0.0306980775210546
number_of_transitions_nrem_to_rem,0.02419445451908905,0.04833354911874781
snore_above_60db,0.0935076987996413,0.11665694025301501
percent_of_right_sleep,0.029893863931824603,0.05183788960600685
total_right_sleep_time,0.0424199988264916,0.062534395820646
total_non_supine_sleep_time,0.06717922926551564,0.08631798008197555
total_valid_apnea_sleep_time,0.015193425033951501,0.033909984410171096
total_light_sleep_time,0.08083640129105615,0.09722106327419944
percent_of_left_sleep,0.05958253384947665,0.0692198747878381
