,Age & BMI,Bone Density
total_valid_apnea_sleep_time,0.0099607099168634,0.02253738395635685
time_to_transition_wake_to_nrem,0.0030211942019878002,0.0146501794135506
time_to_transition_nrem_to_wake,0.11555558369054035,0.12482274422544781
odi_during_left,0.3968413637214169,0.3992773850019027
rdi_during_nrem,0.3701845196727007,0.3721075685675107
ahi_4_percent,0.512954043765417,0.5145432631068022
number_of_all_respiratory_events,0.41099076595641126,0.41224317375258435
odi_during_rem,0.55377288799072,0.5548517126929287
ahi_during_nrem,0.49586731735167644,0.49691818407220184
odi,0.5167540890841769,0.5176891037149716
saturation_mean,0.5729896015730547,0.5738612495385673
snore_above_45db,0.38028833921376637,0.3811435410181451
AHI,0.5522486654286654,0.553053855097934
ahi_during_supine,0.5503335946035335,0.5509703986980409
odi_during_nrem,0.43898331420943354,0.4395883631192714
ahi_central_during_rem,0.2390661013363795,0.23906614987303704
ahi_central,0.2723813832873539,0.2723814187248374
ahi_central_during_nrem,0.2588029757875764,0.2588029820034501
