,"Age, BMI & VAT",Bone Density
snore_above_40db,0.15549021344944955,0.1776177516060651
percent_of_left_sleep,0.09930015952202795,0.1062677452455844
rdi_during_nrem,0.3922798151176758,0.3989645766186267
total_non_supine_sleep_time,0.1544509036396297,0.16012076275923734
rdi_during_non_supine,0.3402182438592195,0.3447208565772349
rdi_during_supine,0.44829260465062176,0.4526846594341202
rdi,0.4315654337000643,0.4358296053968047
variability_between_sleep_stage_percents,0.20306425477201578,0.20660998114589418
desaturations_mean_nadir,0.3578151439155432,0.36124039963658744
rdi_during_rem,0.44104157044225467,0.44440211968454696
snore_above_45db,0.3524776918519341,0.35544784931536255
ahi_during_non_supine,0.4473550525432153,0.45026122435628135
ahi_obstructive_during_nrem,0.4934094450134961,0.4962979530742538
percent_of_deep_sleep_time,0.23093550087055909,0.2333600168807243
ahi_obstructive,0.5266492888499785,0.5289844395417951
ahi_during_supine,0.5196169554027246,0.521814018460161
ahi_obstructive_during_rem,0.5195368172448184,0.5216389458979359
ahi_during_right,0.38157090127541415,0.3836121640085416
number_of_obstructive_apnea_hypopnea_events,0.502526458859001,0.5041937901888619
number_of_all_respiratory_events,0.3958731099240269,0.39741178990784776
ahi_during_rem,0.5179415384488479,0.5194600628407786
AHI,0.5171157726745124,0.5186016503929439
rdi_during_right,0.274970070771421,0.2760500051021786
saturation_max_value,0.0316478016218167,0.0316478016218167
