,0
 PES PLANUS,10
AV. Conduction Disorder,18
Adrenal Adenoma,3
Allergy,2150
Anal abscess,87
Anal fissure,707
Anemia,538
Anxiety,416
Aortic Aneurism,6
Asthma,603
Atherosclerotic disease,20
Atopic dermatitis,333
Atrial Fibrillation,28
Attention Deficit Disorder (ADHD),1944
B12 deficiency,581
Back pain ,2232
Barrett's esophagus,3
Basal Cell Carcinoma,202
Bipolar Disorder,3
Breast Cancer,45
Breast fibrocystic change,16
COPD,19
COVID-19,851
Cardiac arrest,5
Celiac,35
Cervical cancer ,1
Chronic sinusitis,393
Colorectal Carcinoma,5
Constipation,3
Depression,399
Diabetes,100
Diaphragmatic hernia,57
Eating Disorder,5
Endometriosis and Adenomyosis,217
Episodic Vertigo,320
Erectile Dysfunction,45
Esophagitis,12
FMF,22
Fatty Liver Disease,631
Fibromyalgia,141
Folic Acid Deficiency,98
Food Allergy,8
Fracture,1007
G6PD,108
Gallbladder Polyp,12
Gallstone disease,457
Gestational diabetes,15
Glaucoma,85
Goiter,30
Gout,113
Haemangioma,12
Haemorrhoids,2309
Hashimoto,79
Headache,283
Hearing loss,431
Heart Failure,6
Heart valve disease,145
Hydrocephalus,5
Hypercoagulability ,45
Hyperlipidemia,2428
Hyperparathyroidism,20
Hypertension,1257
Hyperthyroidism,164
Hypothyroidism,747
Inflammatory Bowel Dis. (IBD),14
Insomnia,193
Intervertebral disc disease,56
Intervertebral disc stenosis cervical region,8
Iron Def,23
Irritable Bowel Syndrome (IBS),404
Ischemic Heart Disease,155
Keratoconus,19
Lactose Intolerance,47
Loss of consciousness,29
Lung Cancer,1
Lymphoma,3
Melanoma,20
Meniscus Tears,42
Migraine,662
Myocarditis,17
Nearsightedness (myopia),69
Neuropathy,3
Obesity,686
Ocular hypertension,12
Oral aphthae,420
Osteoarthritis,298
Osteopenia,302
Osteoporosis,165
Overweight ,20
Parathyroid Adenoma,3
Parkinson's Dis.,1
Past Malaria,32
Peptic Dis,216
Peptic Ulcer Disease,1175
Perimenopausal Disorders,45
Pituitary Gland Adenoma,4
Polycystic Ovary Disease,295
Post Trauma (PTSD),12
Prediabetes,941
Primary hypercholesterolaemia,59
Prostate cancer,8
Proteinuria,4
Psoriasis,321
Pulmonary Embolism,4
Pulmonary Hypertension,1
Renal stones ,48
Retinal detachment,95
Skin rash,53
Sleep Apnea,301
Squamous Call Carcinoma,55
Stroke,3
Tendon injury,11
Tendon rupture,4
Tenosynovitis,6
Testicular cancer,1
Thalassemia,53
Thyroid Adenoma,6
Thyroid cancer,2
Tinnitus,24
Urinary Incontinence,4
Urinary tract infection,1144
Urinary tract stones,332
Uterine Fibroid/ Leiomyomas,20
Uveitis,27
Vertigo,7
Vitamin D deficiency,17
Vitiligo,68
