,Age & BMI,"HRV
(measured during sleep)"
UNMAPPED,-0.03263084940690015,-0.03263084940690015
UNINTEGRATED,-0.032954265865536,-0.032954265865536
1CMET2-PWY: folate transformations III (E. coli),-0.0330760619417812,-0.0330760619417812
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,-0.0356701581976054,-0.0356701581976054
ANAEROFRUCAT-PWY: homolactic fermentation,-0.035533599575085645,-0.035533599575085645
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),-0.031409281293035246,-0.031409281293035246
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,-0.034338288458163946,-0.034338288458164
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,-0.035019570532410796,-0.035019570532410796
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),-0.032276436175258646,-0.032276436175258646
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),-0.031535747741103695,-0.031535747741103695
ARO-PWY: chorismate biosynthesis I,-0.03215923559325,-0.03215923559325
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,-0.0338742906472127,-0.0338742906472127
AST-PWY: L-arginine degradation II (AST pathway),-0.03350174895650545,-0.0335017489565054
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,-0.0350842023169195,-0.0350842023169195
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,-0.03147511166865425,-0.03147511166865425
CALVIN-PWY: Calvin-Benson-Bassham cycle,-0.03439730282806275,-0.03439730282806275
CENTFERM-PWY: pyruvate fermentation to butanoate,-0.03255914122003595,-0.03255914122003595
CITRULBIO-PWY: L-citrulline biosynthesis,-0.03586900311352305,-0.03586900311352305
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),-0.0364319354128088,-0.0364319354128088
COA-PWY: coenzyme A biosynthesis I (prokaryotic),-0.0372776220426608,-0.03727762204266085
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,-0.035829043713828904,-0.03582904371382885
COLANSYN-PWY: colanic acid building blocks biosynthesis,-0.0371511592845296,-0.03715115928452955
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,-0.03643429850668845,-0.0364342985066884
CRNFORCAT-PWY: creatinine degradation I,-0.032799481957161994,-0.032799481957161994
DAPLYSINESYN-PWY: L-lysine biosynthesis I,-0.03245190884320345,-0.03245190884320345
DARABCATK12-PWY: D-arabinose degradation I,-0.0324206463218861,-0.0324206463218861
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,-0.03477033202860245,-0.03477033202860245
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,-0.0335694207069173,-0.03356942070691725
ECASYN-PWY: enterobacterial common antigen biosynthesis,-0.03407411170234485,-0.03407411170234485
FAO-PWY: fatty acid &beta;-oxidation I (generic),-0.033493166472955346,-0.033493166472955346
FASYN-ELONG-PWY: fatty acid elongation -- saturated,-0.03493297804468555,-0.03493297804468555
FERMENTATION-PWY: mixed acid fermentation,-0.032851904462549,-0.032851904462549
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,-0.03155210690624305,-0.03155210690624305
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,-0.02993341197107155,-0.02993341197107155
FUCCAT-PWY: fucose degradation,-0.03251694469266965,-0.0325169446926697
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,-0.0344522861751524,-0.03445228617515235
GALACTARDEG-PWY: D-galactarate degradation I,-0.03456046811124955,-0.03456046811124955
GALACTITOLCAT-PWY: galactitol degradation,-0.034550181621064754,-0.034550181621064754
GALACTUROCAT-PWY: D-galacturonate degradation I,-0.0321016932950559,-0.0321016932950559
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",-0.034050140879017005,-0.034050140879017005
GLUCARDEG-PWY: D-glucarate degradation I,-0.0351201998759437,-0.0351201998759437
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,-0.03456046811124955,-0.03456046811124955
GLUCONEO-PWY: gluconeogenesis I,-0.03678228919760615,-0.03678228919760615
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,-0.032087201793081846,-0.032087201793081846
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,-0.031259115887429495,-0.031259115887429495
GLUDEG-I-PWY: GABA shunt,-0.0333497702682327,-0.033349770268232645
