,Age & BMI,"HRV
(average of nights)"
UNMAPPED,True,True
UNINTEGRATED,True,True
1CMET2-PWY: folate transformations III (E. coli),True,True
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,True,True
ANAEROFRUCAT-PWY: homolactic fermentation,True,True
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),True,True
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,True,True
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,True,True
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),True,True
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),True,True
ARO-PWY: chorismate biosynthesis I,True,True
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,True,True
AST-PWY: L-arginine degradation II (AST pathway),True,True
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,True,True
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,True,True
CALVIN-PWY: Calvin-Benson-Bassham cycle,True,True
CENTFERM-PWY: pyruvate fermentation to butanoate,True,True
CITRULBIO-PWY: L-citrulline biosynthesis,True,True
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),True,True
COA-PWY: coenzyme A biosynthesis I (prokaryotic),True,True
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,True,True
COLANSYN-PWY: colanic acid building blocks biosynthesis,True,True
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,True,True
CRNFORCAT-PWY: creatinine degradation I,True,True
DAPLYSINESYN-PWY: L-lysine biosynthesis I,True,True
DARABCATK12-PWY: D-arabinose degradation I,True,True
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,True,True
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,True,True
ECASYN-PWY: enterobacterial common antigen biosynthesis,True,True
FAO-PWY: fatty acid &beta;-oxidation I (generic),True,True
FASYN-ELONG-PWY: fatty acid elongation -- saturated,True,True
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),True,True
FERMENTATION-PWY: mixed acid fermentation,True,True
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,True,True
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,True,True
FUCCAT-PWY: fucose degradation,True,True
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,True,True
GALACTARDEG-PWY: D-galactarate degradation I,True,True
