,"Age, BMI & VAT",Lifestyle
total_sleep_time,0.0433325841882988,0.1169808750539116
total_arousal_sleep_time,0.0412951464922959,0.1137168730457567
total_time_in_bed,0.07315787489598924,0.1378925033675856
total_wake_time,0.08940746124006174,0.15209728638551584
sleep_efficiency,0.057482015676736345,0.11485761131767469
time_to_transition_rem_to_wake,0.0242720675534287,0.06943465789053821
total_light_sleep_time,0.1295757994541745,0.17451195069455935
total_wake_time_after_sleep_onset,0.08927645370689664,0.13389855772514753
percent_of_rem_sleep_time,0.059838749582819706,0.10383726961084645
percent_of_sleep_time,0.07546085069065644,0.1156909877135604
percent_of_wake_time,0.07546084414008615,0.11565688984663705
total_rem_sleep_time,0.014686364716446201,0.053279748240690594
number_of_transitions_wake_to_nrem,0.17086412583259536,0.2051324059035735
number_of_wakes,0.16568679892970856,0.19602873884849475
total_valid_apnea_central_sleep_time,0.054109018066991504,0.083460479128012
total_valid_apnea_sleep_time,0.06690606287011436,0.09441035790762135
total_deep_sleep_time,0.08965170902453376,0.11132538299266785
saturation_max_value,0.2014555401605756,0.2228341505184579
number_of_transitions_nrem_to_wake,0.1962503128177697,0.2176248642187562
total_non_supine_sleep_time,0.09061442845625095,0.11096643103786405
number_of_transitions_nrem_to_rem,0.044609534393307254,0.06374511298149516
total_left_sleep_time,0.04525534025559375,0.0618492158106549
percent_of_light_sleep_time,0.12270120576543155,0.1334898608539315
variability_between_sleep_stage_percents,0.12670069643745474,0.13733944205707882
ahi_central,0.23305115019767025,0.23955535876685247
