,Age & BMI,Bone Density
time_to_transition_wake_to_rem,0.025903369072565102,0.11014233042766941
total_non_supine_sleep_time,0.0373989824464447,0.07895749856496805
total_time_in_bed,0.00489638500081035,0.0439841238777667
percent_of_left_sleep,0.02271113753157705,0.0501179280033364
saturation_max_value,0.08182552254434136,0.1044069940622993
total_left_sleep_time,0.0221195214060377,0.0433299869336794
percent_of_non_supine_sleep,0.032864427854877296,0.05332899527960495
percent_of_supine_sleep,0.032864428240076404,0.05332899495583745
sleep_efficiency,0.027174866894825248,0.0467567605856886
time_to_transition_nrem_to_rem,0.02158217331383085,0.03998926899198335
rdi_during_right,0.20020479465742919,0.2172237033648571
total_valid_apnea_sleep_time,0.00914663840101985,0.02603228270310285
total_valid_apnea_central_sleep_time,0.0099121128077417,0.0267310770597947
total_prone_sleep_time,0.027457584719759752,0.04290375379671375
percent_of_prone_sleep,0.03216674358289005,0.0423707202169362
